inputs,context,topic,org_label,set-0,string_label,label,id
"('Some waiters broke this lost foot.',)",,,1,train,1,0,0
"('Some waiters broke this lost feet.',)",,,0,train,0,1,1
"(""This person shouldn't criticize this upset child."",)",,,1,train,1,0,8
"(""This person shouldn't criticize this upset children."",)",,,0,train,0,1,9
"('These tomatoes astound that concealed person.',)",,,1,train,1,0,10
"('These tomatoes astound that concealed people.',)",,,0,train,0,1,11
"(""Sally hasn't cleaned these white oxen."",)",,,1,train,1,0,12
"(""Sally hasn't cleaned these white ox."",)",,,0,train,0,1,13
"('Katherine is biking to these red oases.',)",,,1,train,1,0,16
"('Katherine is biking to these red oasis.',)",,,0,train,0,1,17
"(""Katherine hadn't praised this lost man."",)",,,1,train,1,0,18
"(""Katherine hadn't praised this lost men."",)",,,0,train,0,1,19
"('The driver sees that unlucky person.',)",,,1,train,1,0,20
"('The driver sees that unlucky people.',)",,,0,train,0,1,21
"(""Edward hadn't described this nice woman."",)",,,1,train,1,0,22
"(""Edward hadn't described this nice women."",)",,,0,train,0,1,23
"('Sara listened to that unconvinced person.',)",,,1,train,1,0,26
"('Sara listened to that unconvinced people.',)",,,0,train,0,1,27
"('Samuel had listened to these concealed people.',)",,,1,train,1,0,28
"('Samuel had listened to these concealed person.',)",,,0,train,0,1,29
"('Richard flees from those unconvinced men.',)",,,1,train,1,0,30
"('Richard flees from those unconvinced man.',)",,,0,train,0,1,31
"('Monica is cleaning that hidden axis.',)",,,1,train,1,0,32
"('Monica is cleaning that hidden axes.',)",,,0,train,0,1,33
"('Veronica does break those hard teeth.',)",,,1,train,1,0,34
"('Veronica does break those hard tooth.',)",,,0,train,0,1,35
"('These cashiers do break this whole tooth.',)",,,1,train,1,0,38
"('These cashiers do break this whole teeth.',)",,,0,train,0,1,39
"('Rose dislikes this bad synopsis.',)",,,1,train,1,0,40
"('Rose dislikes this bad synopses.',)",,,0,train,0,1,41
"(""Stacy doesn't impress this determined person."",)",,,1,train,1,0,46
"(""Stacy doesn't impress this determined people."",)",,,0,train,0,1,47
"(""Nina won't run around this smooth oasis."",)",,,1,train,1,0,48
"(""Nina won't run around this smooth oases."",)",,,0,train,0,1,49
"('That committee works with those out in the open women.',)",,,1,train,1,0,50
"('That committee works with those out in the open woman.',)",,,0,train,0,1,51
