inputs,context,topic,org_label,set-0,string_label,label,id
"('What do that legislature and Janice bother?',)",,,1,train,1,0,4
"('What could that legislature bother and Janice?',)",,,0,train,0,1,5
"('What were some museum and a lot of patients insulting?',)",,,1,train,1,0,6
"('What is some museum insulting and a lot of patients?',)",,,0,train,0,1,7
"('Who should Keith and Andrea climb up?',)",,,1,train,1,0,8
"('Who might Keith climb up and Andrea?',)",,,0,train,0,1,9
"('What are Rose and a picture scaring?',)",,,1,train,1,0,10
"('What is Rose scaring and a picture?',)",,,0,train,0,1,11
"('Who should that company and Caroline boast about?',)",,,1,train,1,0,12
"('Who does that company boast about and Caroline?',)",,,0,train,0,1,13
"('What had Jesus and Andrea arrived at?',)",,,1,train,1,0,18
"('What had Jesus arrived at and Andrea?',)",,,0,train,0,1,19
"('Who were Kristen and Melinda biking to?',)",,,1,train,1,0,20
"('Who is Kristen biking to and Melinda?',)",,,0,train,0,1,21
"('Who could Joel and this fish hurt?',)",,,1,train,1,0,24
"('Who would Joel hurt and this fish?',)",,,0,train,0,1,25
"('What have Brian and Galileo escaped from?',)",,,1,train,1,0,26
"('What had Brian escaped from and Galileo?',)",,,0,train,0,1,27
"('Who were some windows and Douglas aggravating?',)",,,1,train,1,0,28
"('Who were some windows aggravating and Douglas?',)",,,0,train,0,1,29
"('What were the turtle and Scott scaring?',)",,,1,train,1,0,30
"('What was the turtle scaring and Scott?',)",,,0,train,0,1,31
"('Who are Bruce and Ronald hugging?',)",,,1,train,1,0,32
"('Who is Bruce hugging and Ronald?',)",,,0,train,0,1,33
"('Who would a man and Victoria hate?',)",,,1,train,1,0,34
"('Who can a man hate and Victoria?',)",,,0,train,0,1,35
"('Who can Karen and Kimberley approach?',)",,,1,train,1,0,38
"('Who should Karen approach and Kimberley?',)",,,0,train,0,1,39
"('What had Russell and Douglas attacked?',)",,,1,train,1,0,40
"('What had Russell attacked and Douglas?',)",,,0,train,0,1,41
"('Who are Mitchell and most guys boycotting?',)",,,1,train,1,0,42
"('Who is Mitchell boycotting and most guys?',)",,,0,train,0,1,43
"('What can Julie and Veronica examine?',)",,,1,train,1,0,44
"('What might Julie examine and Veronica?',)",,,0,train,0,1,45
"('What can Sharon and most universities boast about?',)",,,1,train,1,0,46
"('What did Sharon boast about and most universities?',)",,,0,train,0,1,47
"('What did Caroline and Colleen kiss?',)",,,1,train,1,0,48
"('What might Caroline kiss and Colleen?',)",,,0,train,0,1,49
"('Who can Dawn and every actor question?',)",,,1,train,1,0,50
"('Who should Dawn question and every actor?',)",,,0,train,0,1,51
"('What will the report and those guys disagree with?',)",,,1,train,1,0,52
"('What could the report disagree with and those guys?',)",,,0,train,0,1,53
"('What had Ann and Nicole bought?',)",,,1,train,1,0,54
"('Who were all men and Eric leaving?',)",,,1,dev,1,0,0
"('Who were all men leaving and Eric?',)",,,0,dev,0,1,1
"('Who will Elizabeth and Gregory cure?',)",,,1,dev,1,0,2
"('Who could Elizabeth cure and Gregory?',)",,,0,dev,0,1,3
"('What have Cindy and Valerie examined?',)",,,1,dev,1,0,78
"('What had Cindy examined and Valerie?',)",,,0,dev,0,1,79
"('What had Jane and Karen discussed?',)",,,1,dev,1,0,88
"('What had Jane discussed and Karen?',)",,,0,dev,0,1,89
"('What will Naomi and all students think about?',)",,,1,dev,1,0,120
"('What did Naomi think about and all students?',)",,,0,dev,0,1,121
"('What could Caroline and Eric have?',)",,,1,dev,1,0,138
"('What does Caroline have and Eric?',)",,,0,dev,0,1,139
"('What did Eva and Ella talk about?',)",,,1,dev,1,0,178
"('What can Eva talk about and Ella?',)",,,0,dev,0,1,179
"('What have Judy and Bradley observed?',)",,,1,dev,1,0,280
"('What has Judy observed and Bradley?',)",,,0,dev,0,1,281
"('Who are Colleen and Janet wearing?',)",,,1,dev,1,0,304
"('Who was Colleen wearing and Janet?',)",,,0,dev,0,1,305
"('Who have Theresa and Mark approached?',)",,,1,dev,1,0,320
"('Who had Theresa approached and Mark?',)",,,0,dev,0,1,321
"('Who have Ellen and the Impressionists examined?',)",,,1,dev,1,0,338
"('Who has Ellen examined and the Impressionists?',)",,,0,dev,0,1,339
"('Who have the dancer and George messed up?',)",,,1,dev,1,0,356
"('Who had the dancer messed up and George?',)",,,0,dev,0,1,357
"('Who have the waiters and the Lutherans cared for?',)",,,1,dev,1,0,380
"('Who have the waiters cared for and the Lutherans?',)",,,0,dev,0,1,381
"('Who are Donald and Noah lifting?',)",,,1,dev,1,0,382
"('Who was Donald lifting and Noah?',)",,,0,dev,0,1,383
"('What had Helen and some woman talked about?',)",,,1,dev,1,0,416
"('What has Helen talked about and some woman?',)",,,0,dev,0,1,417
"('What were Omar and Bill referencing?',)",,,1,dev,1,0,436
"('What was Omar referencing and Bill?',)",,,0,dev,0,1,437
"('What will Veronica and Denise conceal?',)",,,1,dev,1,0,440
"('What might Veronica conceal and Denise?',)",,,0,dev,0,1,441
"('What have Grace and Gary criticized?',)",,,1,dev,1,0,462
"('What had Grace criticized and Gary?',)",,,0,dev,0,1,463
"('Who had Marie and Marla researched?',)",,,1,dev,1,0,470
"('Who has Marie researched and Marla?',)",,,0,dev,0,1,471
"('Who are Jodi and many libraries insulting?',)",,,1,dev,1,0,506
"('Who is Jodi insulting and many libraries?',)",,,0,dev,0,1,507
"('Who are some painting and Janice aggravating?',)",,,1,dev,1,0,524
"('Who is some painting aggravating and Janice?',)",,,0,dev,0,1,525
"('What will the lady and Edward reveal?',)",,,1,dev,1,0,530
"('What can the lady reveal and Edward?',)",,,0,dev,0,1,531
"('What do Helen and Diana arrive at?',)",,,1,dev,1,0,548
"('What could Helen arrive at and Diana?',)",,,0,dev,0,1,549
"('What are Kirsten and Donna healing?',)",,,1,dev,1,0,568
"('What was Kirsten healing and Donna?',)",,,0,dev,0,1,569
"('What have Melinda and a woman hugged?',)",,,1,dev,1,0,626
"('What has Melinda hugged and a woman?',)",,,0,dev,0,1,627
"('What have Robert and some ladders annoyed?',)",,,1,dev,1,0,630
"('What had Robert annoyed and some ladders?',)",,,0,dev,0,1,631
"('What had Bruce and most teachers found?',)",,,1,dev,1,0,644
"('What has Bruce found and most teachers?',)",,,0,dev,0,1,645
"('Who are Noah and James lifting?',)",,,1,dev,1,0,648
"('Who was Noah lifting and James?',)",,,0,dev,0,1,649
"('What were Kenneth and some doctor concealing?',)",,,1,dev,1,0,664
"('What is Kenneth concealing and some doctor?',)",,,0,dev,0,1,665
"('What do Catherine and Walter conceal?',)",,,1,dev,1,0,674
"('What will Catherine conceal and Walter?',)",,,0,dev,0,1,675
"('Who had Kirsten and all actresses exited?',)",,,1,dev,1,0,688
"('Who has Kirsten exited and all actresses?',)",,,0,dev,0,1,689
"('What did Edward and Bruce break?',)",,,1,dev,1,0,716
"('What did Edward break and Bruce?',)",,,0,dev,0,1,717
"('What could Matt and waiters notice?',)",,,1,dev,1,0,718
"('What will Matt notice and waiters?',)",,,0,dev,0,1,719
"('Who do Christine and Elizabeth visit?',)",,,1,dev,1,0,724
"('Who did Christine visit and Elizabeth?',)",,,0,dev,0,1,725
"('What are Andrea and these mirrors disgusting?',)",,,1,dev,1,0,754
"('What was Andrea disgusting and these mirrors?',)",,,0,dev,0,1,755
"('What could Christine and all actors listen to?',)",,,1,dev,1,0,764
"('What should Christine listen to and all actors?',)",,,0,dev,0,1,765
"('Who had an actor and Renee arrived at?',)",,,1,dev,1,0,780
"('Who had an actor arrived at and Renee?',)",,,0,dev,0,1,781
"('What had Kimberley and Susan examined?',)",,,1,dev,1,0,804
"('What had Kimberley examined and Susan?',)",,,0,dev,0,1,805
"('Who do many actresses and those drivers sell?',)",,,1,dev,1,0,824
"('Who will many actresses sell and those drivers?',)",,,0,dev,0,1,825
"('Who have Angela and Eric kissed?',)",,,1,dev,1,0,882
"('Who has Angela kissed and Eric?',)",,,0,dev,0,1,883
"('What are Keith and Alexander discussing?',)",,,1,dev,1,0,892
"('What was Keith discussing and Alexander?',)",,,0,dev,0,1,893
"('Who were Eric and Alexander touring?',)",,,1,dev,1,0,900
"('Who was Eric touring and Alexander?',)",,,0,dev,0,1,901
"('Who had Sonia and Sarah approached?',)",,,1,dev,1,0,910
"('Who had Sonia approached and Sarah?',)",,,0,dev,0,1,911
"('What had Chad and Nancy toured?',)",,,1,dev,1,0,920
"('What had Chad toured and Nancy?',)",,,0,dev,0,1,921
"('What had Matt and Liam worn?',)",,,1,dev,1,0,932
"('What has Matt worn and Liam?',)",,,0,dev,0,1,933
"('What have Judy and this actress healed?',)",,,1,dev,1,0,942
"('What has Judy healed and this actress?',)",,,0,dev,0,1,943
"('What had Rachel and Jessica questioned?',)",,,1,dev,1,0,944
"('What had Rachel questioned and Jessica?',)",,,0,dev,0,1,945
"('Who have all patients and Michelle forgotten?',)",,,1,dev,1,0,948
"('Who had all patients forgotten and Michelle?',)",,,0,dev,0,1,949
"('What are Janice and the movie astounding?',)",,,1,dev,1,0,994
"('What was Janice astounding and the movie?',)",,,0,dev,0,1,995
"('Who have this teacher and Brett seen?',)",,,1,dev,1,0,1056
"('Who has this teacher seen and Brett?',)",,,0,dev,0,1,1057
"('Who had Andrew and many bananas looked like?',)",,,1,dev,1,0,1068
"('Who had Andrew looked like and many bananas?',)",,,0,dev,0,1,1069
"('Who might Jason and Beverly fix?',)",,,1,dev,1,0,1082
"('Who could Jason fix and Beverly?',)",,,0,dev,0,1,1083
"('What have Eva and Adam complained about?',)",,,1,dev,1,0,1084
"('What had Eva complained about and Adam?',)",,,0,dev,0,1,1085
"('What were this hamster and Bethany descending?',)",,,1,dev,1,0,1112
"('What is this hamster descending and Bethany?',)",,,0,dev,0,1,1113
"('What had Anne and some museum appreciated?',)",,,1,dev,1,0,1124
"('What has Anne appreciated and some museum?',)",,,0,dev,0,1,1125
"('Who could Randolf and Cynthia ascend?',)",,,1,dev,1,0,1126
"('Who could Randolf ascend and Cynthia?',)",,,0,dev,0,1,1127
"('Who were that mirror and a lot of drawings disgusting?',)",,,1,dev,1,0,1128
