inputs,context,topic,org_label,set-0,string_label,label,id
"(""Todd can't yawn."",)",,,1,train,1,0,0
"(""Todd can't walk through."",)",,,0,train,0,1,1
"(""Some guests hadn't left."",)",,,1,train,1,0,2
"(""Some guests hadn't boasted about."",)",,,0,train,0,1,3
"('Regina is shouting.',)",,,1,train,1,0,6
"('Regina is boasting about.',)",,,0,train,0,1,7
"(""Anna's grandmothers aren't benefiting."",)",,,1,train,1,0,10
"(""Anna's grandmothers aren't arguing about."",)",,,0,train,0,1,11
"('Stephanie succeeds.',)",,,1,train,1,0,14
"('Stephanie boasts about.',)",,,0,train,0,1,15
"(""Tara's contractors scream."",)",,,1,train,1,0,16
"(""Tara's contractors drive to."",)",,,0,train,0,1,17
"(""All gloves weren't crumpling."",)",,,1,train,1,0,18
"(""All gloves weren't looking like."",)",,,0,train,0,1,19
"(""Patricia's hairdressers hadn't cooked."",)",,,1,train,1,0,20
"(""Patricia's hairdressers hadn't gone to."",)",,,0,train,0,1,21
"('The spotlights faded.',)",,,1,train,1,0,22
"('The spotlights scared.',)",,,0,train,0,1,23
"('The muffins were scorching.',)",,,1,train,1,0,24
"('The muffins were scaring.',)",,,0,train,0,1,25
"('Those friends of Sally were painting.',)",,,1,train,1,0,26
"('Those friends of Sally were walking through.',)",,,0,train,0,1,27
"('This screen does brighten.',)",,,1,train,1,0,28
"('This screen does resemble.',)",,,0,train,0,1,29
"(""Danielle's podiatrists were succeeding."",)",,,1,train,1,0,30
"(""Danielle's podiatrists were scaring."",)",,,0,train,0,1,31
"('A lot of cashiers should collaborate.',)",,,1,train,1,0,32
"('A lot of cashiers should go to.',)",,,0,train,0,1,33
"('The pepper blackened.',)",,,1,train,1,0,34
"('The pepper resembles.',)",,,0,train,0,1,35
"(""Some skirts haven't unfolded."",)",,,1,train,1,0,36
"(""Some skirts haven't scared."",)",,,0,train,0,1,37
"('Some cup falls apart.',)",,,1,train,1,0,42
"('Some cup resembles.',)",,,0,train,0,1,43
"(""All grandmothers of Bill hadn't clashed."",)",,,1,train,1,0,44
"(""All grandmothers of Bill hadn't arrived at."",)",,,0,train,0,1,45
"('Some convertible is chipping.',)",,,1,train,1,0,46
"('Some convertible is scaring.',)",,,0,train,0,1,47
"('These grandfathers of Ella cooperated.',)",,,1,train,1,0,50
"('These grandfathers of Ella boast about.',)",,,0,train,0,1,51
"('Most spotlights had dimmed.',)",,,1,train,1,0,52
"('Most spotlights had looked like.',)",,,0,train,0,1,53
"('Andrea has donated.',)",,,1,train,1,0,56
"('Keith learns.',)",,,1,dev,1,0,54
"('Keith disliked.',)",,,0,dev,0,1,55
"('Larry departs.',)",,,1,dev,1,0,64
"('Larry cured.',)",,,0,dev,0,1,65
"('The water melts.',)",,,1,dev,1,0,108
