inputs,context,topic,org_label,set-0,string_label,label,id
"('There is soon to be a cat existing.',)",,,1,train,1,0,0
"('There is willing to be a cat existing.',)",,,0,train,0,1,1
"('There was bound to be a fish escaping.',)",,,1,train,1,0,2
"('There was unable to be a fish escaping.',)",,,0,train,0,1,3
"(""There weren't about to be few prints of this eggplant scaring Paula."",)",,,1,train,1,0,4
"(""There weren't unwilling to be few prints of this eggplant scaring Paula."",)",,,0,train,0,1,5
"('There were likely to be some books about the Borgias disturbing this senator.',)",,,1,train,1,0,8
"('There were ready to be some books about the Borgias disturbing this senator.',)",,,0,train,0,1,9
"(""There can't threaten to be hair confusing Travis."",)",,,1,train,1,0,10
"(""There can't want to be hair confusing Travis."",)",,,0,train,0,1,11
"(""There wasn't about to be a light fading."",)",,,1,train,1,0,12
"(""There wasn't willing to be a light fading."",)",,,0,train,0,1,13
"('There are appearing to be many pedestrians falling asleep.',)",,,1,train,1,0,14
"('There are neglecting to be many pedestrians falling asleep.',)",,,0,train,0,1,15
"('There looked to be plates chipping.',)",,,1,train,1,0,16
"('There proposed to be plates chipping.',)",,,0,train,0,1,17
"('There is sure to be chicken falling.',)",,,1,train,1,0,18
"('There is eager to be chicken falling.',)",,,0,train,0,1,19
"('There appear to be few bananas blackening.',)",,,1,train,1,0,24
"('There proposed to be few bananas blackening.',)",,,0,train,0,1,25
"(""There didn't prove to be more than three commentaries confusing Frank."",)",,,1,train,1,0,26
"(""There didn't bother to be more than three commentaries confusing Frank."",)",,,0,train,0,1,27
"('There looked to be no cars distracting Samuel.',)",,,1,train,1,0,32
"('There attempt to be no cars distracting Samuel.',)",,,0,train,0,1,33
"(""There weren't unlikely to be a lot of peppers bothering most women."",)",,,1,train,1,0,34
"(""There weren't unable to be a lot of peppers bothering most women."",)",,,0,train,0,1,35
"('There threaten to be few nephews of Donald waking up.',)",,,1,train,1,0,38
"('There wished to be few nephews of Donald waking up.',)",,,0,train,0,1,39
"('There looked to be a college campus irritating Jennifer.',)",,,1,train,1,0,40
"('There attempted to be a college campus irritating Jennifer.',)",,,0,train,0,1,41
"('There happens to be a pedestrian curing Stephanie.',)",,,1,train,1,0,42
"('There continues to be a pedestrian curing Stephanie.',)",,,0,train,0,1,43
"('There can fail to be a committee forfeiting.',)",,,1,train,1,0,44
"('There can like to be a committee forfeiting.',)",,,0,train,0,1,45
"('There was unlikely to be a committee convincing Caroline to slump over.',)",,,1,train,1,0,46
"('There was able to be a committee convincing Caroline to slump over.',)",,,0,train,0,1,47
"('There were certain to be more than three pictures hurting Sonia.',)",,,1,train,1,0,48
"('There were overjoyed to be more than three pictures hurting Sonia.',)",,,0,train,0,1,49
"('There is turning out to be a doctor yawning.',)",,,1,train,1,0,50
"('There is neglecting to be a doctor yawning.',)",,,0,train,0,1,51
"('There had appeared to be a girl upsetting Rachel.',)",,,1,train,1,0,52
"('There had needed to be a girl upsetting Rachel.',)",,,0,train,0,1,53
"(""There weren't likely to be many coats looking like most drawings."",)",,,1,train,1,0,54
"('There were looking to be a lot of children assembling.',)",,,1,dev,1,0,6
"('There were hoping to be a lot of children assembling.',)",,,0,dev,0,1,7
"('There were soon to be documentaries astounding Dana.',)",,,1,dev,1,0,30
