inputs,context,topic,org_label,set-0,string_label,label,id
"(""Who aren't most hospitals that hadn't talked about most waitresses alarming?"",)",,,1,train,1,0,0
"(""Who aren't most waitresses alarming most hospitals that hadn't talked about?"",)",,,0,train,0,1,1
"(""Who hasn't this sister of these dancers who shocked Cheryl attacked?"",)",,,1,train,1,0,2
"(""Who hasn't Cheryl attacked this sister of these dancers who shocked?"",)",,,0,train,0,1,3
"(""Who should Lawrence's lawyers who have scared some grandsons of Janice hate?"",)",,,1,train,1,0,4
"(""Who should some grandsons of Janice hate Lawrence's lawyers who have scared?"",)",,,0,train,0,1,5
"(""Who hadn't some driver who would fire Jennifer's colleague embarrassed?"",)",,,1,train,1,0,6
"(""Who hadn't Jennifer's colleague embarrassed some driver who would fire?"",)",,,0,train,0,1,7
"(""Who couldn't nephews of Victoria that did conceal Carmen observe?"",)",,,1,train,1,0,10
"(""Who couldn't Carmen observe nephews of Victoria that did conceal?"",)",,,0,train,0,1,11
"(""Who wouldn't all mothers of Florence who disturbed Katherine forget?"",)",,,1,train,1,0,12
"(""Who wouldn't Katherine forget all mothers of Florence who disturbed?"",)",,,0,train,0,1,13
"(""Who weren't these people that had hated the dancers admiring?"",)",,,1,train,1,0,16
"(""Who weren't the dancers admiring these people that had hated?"",)",,,0,train,0,1,17
"(""Who did this actor that wouldn't astound Anna's dentists disturb?"",)",,,1,train,1,0,18
"(""Who did Anna's dentists disturb this actor that wouldn't astound?"",)",,,0,train,0,1,19
"(""Who was Gary's lawyer who could respect Tonya approaching?"",)",,,1,train,1,0,20
"(""Who was Tonya approaching Gary's lawyer who could respect?"",)",,,0,train,0,1,21
"(""What can't a guest who would like some actor argue about?"",)",,,1,train,1,0,24
"(""What can't some actor argue about a guest who would like?"",)",,,0,train,0,1,25
"(""Who wasn't that actor's father who can't bore Samuel healing?"",)",,,1,train,1,0,26
"(""Who wasn't Samuel healing that actor's father who can't bore?"",)",,,0,train,0,1,27
"(""Who is Bill's nephew that won't attack Janice listening to?"",)",,,1,train,1,0,30
