inputs,context,topic,org_label,set-0,string_label,label,id
"(""Tara would ascertain it to be noteworthy that Kenneth didn't wash."",)",,,1,train,1,0,0
"(""Tara wouldn't entice it to be noteworthy that Kenneth didn't wash."",)",,,0,train,0,1,1
"('Carla could declare it to be not so important that these doctors observe Rhonda.',)",,,1,train,1,0,2
"('Carla can convince it to be not so important that these doctors observe Rhonda.',)",,,0,train,0,1,3
"('Nina anticipated it to be nice that Jacqueline exists.',)",,,1,train,1,0,4
"('Nina obligated it to be nice that Jacqueline exists.',)",,,0,train,0,1,5
"(""Charles's brothers hadn't considered it to be not so amusing that every man exercised."",)",,,1,train,1,0,8
"(""Charles's brothers motivate it to be not so amusing that every man exercised."",)",,,0,train,0,1,9
"(""Maria discovers it to be not so good that Karla couldn't need Carlos to question Candice."",)",,,1,train,1,0,10
"(""Maria shouldn't ask it to be not so good that Karla couldn't need Carlos to question Candice."",)",,,0,train,0,1,11
"('Walter considers it to be lucky that Angela walks through many museums.',)",,,1,train,1,0,12
"(""Walter hadn't pressed it to be lucky that Angela walks through many museums."",)",,,0,train,0,1,13
"(""Noah can't predict it to be not so funny that some pasta blackens."",)",,,1,train,1,0,14
"('Noah is pressuring it to be not so funny that some pasta blackens.',)",,,0,train,0,1,15
"('Ronald does need it to be not so pleasant that those actors hide away.',)",,,1,train,1,0,18
"('Ronald asked it to be not so pleasant that those actors hide away.',)",,,0,train,0,1,19
"(""Michelle's mentors anticipate it to be bad that the Impressionists were hugging."",)",,,1,train,1,0,20
"(""Michelle's mentors do tempt it to be bad that the Impressionists were hugging."",)",,,0,train,0,1,21
"(""Jane believed it to be not so amusing that Heidi wouldn't blink."",)",,,1,train,1,0,24
"(""Jane hadn't enticed it to be not so amusing that Heidi wouldn't blink."",)",,,0,train,0,1,25
"(""Tanya is needing it to be expected that Sharon couldn't forget about who talks to Kenneth."",)",,,1,train,1,0,28
"(""Tanya had ordered it to be expected that Sharon couldn't forget about who talks to Kenneth."",)",,,0,train,0,1,29
"(""Girls hadn't needed it to be not so surprising that many actresses observe Gary."",)",,,1,train,1,0,30
"('Girls prod it to be not so surprising that many actresses observe Gary.',)",,,0,train,0,1,31
"(""Some nephews of Tammy predict it to be okay that all ladies weren't imploring Charles to scare Steve."",)",,,1,train,1,0,38
"(""Some nephews of Tammy hadn't compelled it to be okay that all ladies weren't imploring Charles to scare Steve."",)",,,0,train,0,1,39
"(""The guys didn't consider it to be clear that Janet tempted some waiter to confuse David."",)",,,1,train,1,0,40
"('The guys persuaded it to be clear that Janet tempted some waiter to confuse David.',)",,,0,train,0,1,41
"(""Kristen hasn't discovered it to be sad that teachers were responding."",)",,,1,train,1,0,42
"(""Kristen isn't prodding it to be sad that teachers were responding."",)",,,0,train,0,1,43
"(""Maria's cousins want it to be weird that Jennifer wishes to admire Susan."",)",,,1,train,1,0,44
"(""Maria's cousins aren't badgering it to be weird that Jennifer wishes to admire Susan."",)",,,0,train,0,1,45
"('Irene judges it to be interesting that Samantha had hoped to argue.',)",,,1,train,1,0,50
"('Irene has prodded it to be interesting that Samantha had hoped to argue.',)",,,0,train,0,1,51
"(""Cynthia's granddaughter has expected it to be sad that Beth smiled."",)",,,1,train,1,0,52
"(""Cynthia's granddaughter compels it to be sad that Beth smiled."",)",,,0,train,0,1,53
"(""The Clintons' granddaughters anticipate it to be obvious that Maria was shouting."",)",,,1,train,1,0,54
"(""The Clintons' granddaughters have advised it to be obvious that Maria was shouting."",)",,,0,train,0,1,55
"(""Marla's ex-boyfriend hasn't judged it to be not so funny that Gerald wasn't appearing to complain."",)",,,1,train,1,0,56
"(""Marla's ex-boyfriend commissions it to be not so funny that Gerald wasn't appearing to complain."",)",,,0,train,0,1,57
"(""This cashier's grandfathers predict it to be unexpected that the chair hadn't slipped."",)",,,1,train,1,0,58
"(""This cashier's grandfathers shouldn't entreat it to be unexpected that the chair hadn't slipped."",)",,,0,train,0,1,59
"(""Naomi's tutor wants it to be nice that Daniel could mutter."",)",,,1,train,1,0,62
"('This cashier had ascertained it to be not so interesting that Anna painted.',)",,,1,dev,1,0,66
"(""This cashier can't press it to be not so interesting that Anna painted."",)",,,0,dev,0,1,67
"(""Those people haven't judged it to be not so clear that David hadn't murmured."",)",,,1,dev,1,0,88
"(""Those people entreat it to be not so clear that David hadn't murmured."",)",,,0,dev,0,1,89
"(""Some patients are wanting it to be not so good that Claire wouldn't scream."",)",,,1,dev,1,0,100
"(""Some patients have pressed it to be not so good that Claire wouldn't scream."",)",,,0,dev,0,1,101
"(""Travis's brother expected it to be worth saying that Gina is reading."",)",,,1,dev,1,0,114
"(""Travis's brother is swaying it to be worth saying that Gina is reading."",)",,,0,dev,0,1,115
"(""Judy's daughters discover it to be not so interesting that Tamara cheers."",)",,,1,dev,1,0,152
"(""Judy's daughters begged it to be not so interesting that Tamara cheers."",)",,,0,dev,0,1,153
"(""Helen's mentors are considering it to be weird that these actresses can clash."",)",,,1,dev,1,0,160
"(""Helen's mentors haven't obliged it to be weird that these actresses can clash."",)",,,0,dev,0,1,161
"('Amanda predicted it to be worth noting that these actresses hope to exist.',)",,,1,dev,1,0,170
"(""Amanda doesn't implore it to be worth noting that these actresses hope to exist."",)",,,0,dev,0,1,171
"(""Timothy's classmate found it to be unexpected that Gregory hasn't wanted Dana to descend those steps."",)",,,1,dev,1,0,184
"(""Timothy's classmate obliges it to be unexpected that Gregory hasn't wanted Dana to descend those steps."",)",,,0,dev,0,1,185
"('Dennis preferred it to be unfortunate that most children weep.',)",,,1,dev,1,0,204
"('Dennis begs it to be unfortunate that most children weep.',)",,,0,dev,0,1,205
"('Victoria was judging it to be not so clear that many patients might move.',)",,,1,dev,1,0,228
"('Victoria swayed it to be not so clear that many patients might move.',)",,,0,dev,0,1,229
"(""Gina's contractors need it to be fortunate that those universities can't respond."",)",,,1,dev,1,0,278
"(""Gina's contractors couldn't spur it to be fortunate that those universities can't respond."",)",,,0,dev,0,1,279
"('Mitchell needed it to be not so important that Brenda visits Donald.',)",,,1,dev,1,0,288
"(""Mitchell wasn't compelling it to be not so important that Brenda visits Donald."",)",,,0,dev,0,1,289
"('Universities had preferred it to be normal that many teenagers collaborated.',)",,,1,dev,1,0,294
"('Universities tempt it to be normal that many teenagers collaborated.',)",,,0,dev,0,1,295
"(""Joel won't find it to be not so weird that Karla had appreciated the pedestrians."",)",,,1,dev,1,0,322
"('Joel swayed it to be not so weird that Karla had appreciated the pedestrians.',)",,,0,dev,0,1,323
"(""Some driver couldn't ascertain it to be natural that Stephen has believed Valerie to scan the movie."",)",,,1,dev,1,0,368
