inputs,context,topic,org_label,set-0,string_label,label,id
"('Larry talked to five dermatologists and Rose talked to four displeased dermatologists.',)",,,1,train,1,0,2
"('Larry talked to five small dermatologists and Rose talked to four displeased.',)",,,0,train,0,1,3
"('That legislature has three peppers and Charles has at least as many small peppers.',)",,,1,train,1,0,4
"('That legislature has three hidden peppers and Charles has at least as many small.',)",,,0,train,0,1,5
"(""A picture does look like four shawls and the photographs of Douglas couldn't look like five red shawls."",)",,,1,train,1,0,6
"(""A picture does look like four blue shawls and the photographs of Douglas couldn't look like five red."",)",,,0,train,0,1,7
"(""Melissa's granddaughter complained about four friends of and some people complained about five big friends of."",)",,,1,train,1,0,10
"(""Melissa's granddaughter complained about four unemployed friends of and some people complained about five big."",)",,,0,train,0,1,11
"(""Roger isn't exploring one college campus and some friend of Dan isn't exploring a lot red college campus."",)",,,1,train,1,0,12
"(""Roger isn't exploring one smooth college campus and some friend of Dan isn't exploring a lot red."",)",,,0,train,0,1,13
"(""Curtis's boss discussed four sons and Andrew discussed five sick sons."",)",,,1,train,1,0,14
"(""Curtis's boss discussed four happy sons and Andrew discussed five sick."",)",,,0,train,0,1,15
"('That newspaper article about Winston Churchill astounded one waitress and Donald astounded several unemployed waitress.',)",,,1,train,1,0,22
"('That newspaper article about Winston Churchill astounded one confident waitress and Donald astounded several unemployed.',)",,,0,train,0,1,23
"(""Jodi's plumbers climb down no mountains and the snakes climb down some rough mountains."",)",,,1,train,1,0,24
"(""Jodi's plumbers climb down no small mountains and the snakes climb down some rough."",)",,,0,train,0,1,25
"(""A lady fixes a lot of bicycles and Bethany's spouse fixes a few concealed bicycles."",)",,,1,train,1,0,26
"(""A lady fixes a lot of purple bicycles and Bethany's spouse fixes a few concealed."",)",,,0,train,0,1,27
"(""A lot of patients' girlfriend sells one popsicle and Steve sells few concealed popsicle."",)",,,1,train,1,0,28
"(""A lot of patients' girlfriend sells one red popsicle and Steve sells few concealed."",)",,,0,train,0,1,29
"(""Every guy's nephews research three closets and teenagers' mentees research fewer blue closets."",)",,,1,train,1,0,30
"(""Every guy's nephews research three new closets and teenagers' mentees research fewer blue."",)",,,0,train,0,1,31
"(""A patient's hairdressers wouldn't forget no brothers of and a lot of women's grandson wouldn't forget some serious brothers of."",)",,,1,train,1,0,34
"(""A patient's hairdressers wouldn't forget no unemployed brothers of and a lot of women's grandson wouldn't forget some serious."",)",,,0,train,0,1,35
"('The Borgias disgusts a few grandfathers of and some committee disgusts a lot determined grandfathers of.',)",,,1,train,1,0,36
"('The Borgias disgusts a few uncertain grandfathers of and some committee disgusts a lot determined.',)",,,0,train,0,1,37
"(""Stephen's French teacher hasn't worried one teenager and Roger hasn't worried a lot old teenager."",)",,,1,train,1,0,38
"(""Stephen's French teacher hasn't worried one important teenager and Roger hasn't worried a lot old."",)",,,0,train,0,1,39
"('Suzanne had climbed down one slope and Martha had climbed down three lost slope.',)",,,1,train,1,0,42
"('Suzanne had climbed down one smooth slope and Martha had climbed down three lost.',)",,,0,train,0,1,43
"(""Most pedestrians' ex-wife doesn't arrive at one high school and these waiters' son doesn't arrive at two new high school."",)",,,1,train,1,0,44
"(""Most pedestrians' ex-wife doesn't arrive at one hard high school and these waiters' son doesn't arrive at two new."",)",,,0,train,0,1,45
"(""Dennis wasn't boycotting one college campus and Laurie wasn't boycotting some blue college campus."",)",,,1,train,1,0,46
"(""Dennis wasn't boycotting one orange college campus and Laurie wasn't boycotting some blue."",)",,,0,train,0,1,47
"('Holly disgusted one employee and mirrors disgusted some lucky employee.',)",,,1,train,1,0,48
"('Holly disgusted one clever employee and mirrors disgusted some lucky.',)",,,0,train,0,1,49
"(""Tonya isn't attacking three brothers and Frank isn't attacking fewer bad brothers."",)",,,1,train,1,0,50
"(""Tonya isn't attacking three employed brothers and Frank isn't attacking fewer bad."",)",,,0,train,0,1,51
"('Homer would confuse four teachers and a mother of Melissa would confuse five clever teachers.',)",,,1,train,1,0,54
"('Homer would confuse four hopeful teachers and a mother of Melissa would confuse five clever.',)",,,0,train,0,1,55
"(""Samantha's doctors reference several fathers of and Tara's partners reference a few unconvinced fathers of."",)",,,1,train,1,0,56
"(""Samantha's doctors reference several ill fathers of and Tara's partners reference a few unconvinced."",)",,,0,train,0,1,57
"(""Brad isn't listening to several grandmothers and Colleen isn't listening to a few upset grandmothers."",)",,,1,train,1,0,58
"(""Allison's doctor didn't astound one associate and Vincent's mothers didn't astound a few concealed associate."",)",,,1,dev,1,0,32
"(""Allison's doctor didn't astound one small associate and Vincent's mothers didn't astound a few concealed."",)",,,0,dev,0,1,33
"(""A lady's contractors bore a lot of grandmothers of and those essays bore a few upset grandmothers of."",)",,,1,dev,1,0,68
"(""A lady's contractors bore a lot of unconvinced grandmothers of and those essays bore a few upset."",)",,,0,dev,0,1,69
"(""Brad's electricians haven't bought a few rugs and Kathleen has bought a lot hard rugs."",)",,,1,dev,1,0,112
"(""Brad's electricians haven't bought a few blue rugs and Kathleen has bought a lot hard."",)",,,0,dev,0,1,113
"('Sherry had annoyed a few supervisors and some movie about art had annoyed several nice supervisors.',)",,,1,dev,1,0,116
"('Sherry had annoyed a few bad supervisors and some movie about art had annoyed several nice.',)",,,0,dev,0,1,117
"('The children can hug a few cousins and Gregory can hug a lot small cousins.',)",,,1,dev,1,0,130
"('The children can hug a few busy cousins and Gregory can hug a lot small.',)",,,0,dev,0,1,131
"(""Curtis didn't leave few mentors and James didn't leave many displeased mentors."",)",,,1,dev,1,0,136
"(""Curtis didn't leave few determined mentors and James didn't leave many displeased."",)",,,0,dev,0,1,137
"(""Those waitresses do explore three glaciers and Scott couldn't explore almost as many popular glaciers."",)",,,1,dev,1,0,214
"(""Those waitresses do explore three gray glaciers and Scott couldn't explore almost as many popular."",)",,,0,dev,0,1,215
"(""Becca's classmate fled from one doctor and Stacey fled from few troubled doctor."",)",,,1,dev,1,0,216
"(""Becca's classmate fled from one concealed doctor and Stacey fled from few troubled."",)",,,0,dev,0,1,217
"(""This bank hadn't argued about three electricians and these cousins of Frank hadn't argued about at least as many lost electricians."",)",,,1,dev,1,0,218
"(""This bank hadn't argued about three fast electricians and these cousins of Frank hadn't argued about at least as many lost."",)",,,0,dev,0,1,219
"(""Melinda's podiatrists annoy one doctor and those cars annoy many exposed doctor."",)",,,1,dev,1,0,230
"(""Melinda's podiatrists annoy one unconvinced doctor and those cars annoy many exposed."",)",,,0,dev,0,1,231
"(""This granddaughter of Melinda won't embarrass one senator and the adults' dentists won't embarrass more young senator."",)",,,1,dev,1,0,238
"(""This granddaughter of Melinda won't embarrass one lucky senator and the adults' dentists won't embarrass more young."",)",,,0,dev,0,1,239
"(""Anne isn't taking one face and Raymond isn't taking at least as many lost face."",)",,,1,dev,1,0,274
"(""Anne isn't taking one important face and Raymond isn't taking at least as many lost."",)",,,0,dev,0,1,275
"('A lot of doctors find one restaurant and the girls find many smooth restaurant.',)",,,1,dev,1,0,284
"('A lot of doctors find one good restaurant and the girls find many smooth.',)",,,0,dev,0,1,285
"(""Many dancers weren't breaking several planes and Jill's handyman isn't breaking a few orange planes."",)",,,1,dev,1,0,378
"(""Many dancers weren't breaking several red planes and Jill's handyman isn't breaking a few orange."",)",,,0,dev,0,1,379
"('Carla was hugging three dancers and Laura was hugging fewer important dancers.',)",,,1,dev,1,0,380
"('Carla was hugging three unemployed dancers and Laura was hugging fewer important.',)",,,0,dev,0,1,381
"('A lot of friends of Kirsten shocks three sisters and this convertible shocks at least as many small sisters.',)",,,1,dev,1,0,382
"('A lot of friends of Kirsten shocks three young sisters and this convertible shocks at least as many small.',)",,,0,dev,0,1,383
"(""Douglas's ex-husbands love one sister of and the governments love some exposed sister of."",)",,,1,dev,1,0,402
"(""Douglas's ex-husbands love one happy sister of and the governments love some exposed."",)",,,0,dev,0,1,403
"(""Vincent's plumber wasn't walking through three lakes and Carolyn's daughter wasn't walking through at least as many big lakes."",)",,,1,dev,1,0,462
"(""Vincent's plumber wasn't walking through three hidden lakes and Carolyn's daughter wasn't walking through at least as many big."",)",,,0,dev,0,1,463
"(""Beverly's grandmothers ascend three slopes and that dancer's grandsons ascend almost as many lost slopes."",)",,,1,dev,1,0,472
"(""Beverly's grandmothers ascend three smooth slopes and that dancer's grandsons ascend almost as many lost."",)",,,0,dev,0,1,473
"('This story about current events scared three nephews and these plays about the Great Lakes scared fewer long nephews.',)",,,1,dev,1,0,484
"('This story about current events scared three troubled nephews and these plays about the Great Lakes scared fewer long.',)",,,0,dev,0,1,485
"(""Sheila's doctor isn't hiding one nose and that senator isn't hiding at least as many lost nose."",)",,,1,dev,1,0,492
"(""Sheila's doctor isn't hiding one out in the open nose and that senator isn't hiding at least as many lost."",)",,,0,dev,0,1,493
"('Stacy leaves a few lawyers and Ruth leaves a lot confident lawyers.',)",,,1,dev,1,0,506
"('Stacy leaves a few good lawyers and Ruth leaves a lot confident.',)",,,0,dev,0,1,507
"('That picture looks like one library and that print looks like two dirty library.',)",,,1,dev,1,0,540
"('That picture looks like one clean library and that print looks like two dirty.',)",,,0,dev,0,1,541
"('Daniel references one dermatologist and Denise references four serious dermatologist.',)",,,1,dev,1,0,554
"('Daniel references one unsure dermatologist and Denise references four serious.',)",,,0,dev,0,1,555
"('Liam would have three sketches of and Craig would have two green sketches of.',)",,,1,dev,1,0,564
"('Liam would have three white sketches of and Craig would have two green.',)",,,0,dev,0,1,565
"(""Every driver's mentors have fixed one unicycle and Carolyn hadn't fixed many yellow unicycle."",)",,,1,dev,1,0,592
"(""Every driver's mentors have fixed one white unicycle and Carolyn hadn't fixed many yellow."",)",,,0,dev,0,1,593
"('The women scan one supervisor and the Lutherans scan a lot determined supervisor.',)",,,1,dev,1,0,678
"('The women scan one standing supervisor and the Lutherans scan a lot determined.',)",,,0,dev,0,1,679
"('Janet attacks three mothers and Mary attacks more standing mothers.',)",,,1,dev,1,0,712
"('Janet attacks three unemployed mothers and Mary attacks more standing.',)",,,0,dev,0,1,713
"('Current events impress three brothers of and all vases impress fewer bad brothers of.',)",,,1,dev,1,0,752
"('Current events impress three nice brothers of and all vases impress fewer bad.',)",,,0,dev,0,1,753
"('The grandfathers of Rachelle conceal one granddaughter of and the Lutherans conceal many displeased granddaughter of.',)",,,1,dev,1,0,756
"('The grandfathers of Rachelle conceal one upset granddaughter of and the Lutherans conceal many displeased.',)",,,0,dev,0,1,757
"(""Brian has skated around one grocery store and Rhonda's sister has skated around five dirty grocery store."",)",,,1,dev,1,0,766
"(""Brian has skated around one good grocery store and Rhonda's sister has skated around five dirty."",)",,,0,dev,0,1,767
"('A lot of cousins of Tamara are questioning one man and Sara was questioning several delighted man.',)",,,1,dev,1,0,772
"('A lot of cousins of Tamara are questioning one confident man and Sara was questioning several delighted.',)",,,0,dev,0,1,773
"(""Gerald thinks about a few organizations and Bethany's French teacher thinks about a lot bad organizations."",)",,,1,dev,1,0,790
"(""Gerald thinks about a few good organizations and Bethany's French teacher thinks about a lot bad."",)",,,0,dev,0,1,791
"('A newspaper article bored three pedestrians and Jennifer bored fewer clever pedestrians.',)",,,1,dev,1,0,818
"('A newspaper article bored three determined pedestrians and Jennifer bored fewer clever.',)",,,0,dev,0,1,819
"(""Some blouses haven't impressed one boyfriend and those dancers' daughters haven't impressed four sick boyfriend."",)",,,1,dev,1,0,836
"(""Some blouses haven't impressed one hidden boyfriend and those dancers' daughters haven't impressed four sick."",)",,,0,dev,0,1,837
"('Many brothers of this doctor think about one doctor and those women think about two fast doctor.',)",,,1,dev,1,0,872
"('Many brothers of this doctor think about one lucky doctor and those women think about two fast.',)",,,0,dev,0,1,873
"(""Jennifer's girlfriend hugged many granddaughters of and Melanie hugged few unconvinced granddaughters of."",)",,,1,dev,1,0,940
"(""Jennifer's girlfriend hugged many concealed granddaughters of and Melanie hugged few unconvinced."",)",,,0,dev,0,1,941
"(""Some lady hasn't admired two nephews of and Samantha hasn't admired three smart nephews of."",)",,,1,dev,1,0,960
"(""Some lady hasn't admired two young nephews of and Samantha hasn't admired three smart."",)",,,0,dev,0,1,961
"('Patrick approaches one customer and some driver approaches at least as many happy customer.',)",,,1,dev,1,0,964
"('Patrick approaches one big customer and some driver approaches at least as many happy.',)",,,0,dev,0,1,965
"('Tiffany was upsetting three actors and Gary was upsetting more content actors.',)",,,1,dev,1,0,968
"('Tiffany was upsetting three busy actors and Gary was upsetting more content.',)",,,0,dev,0,1,969
"('Many ladders alarm several tutors and a lot of essays alarm a few smart tutors.',)",,,1,dev,1,0,992
"('Many ladders alarm several busy tutors and a lot of essays alarm a few smart.',)",,,0,dev,0,1,993
"('Sherry could heal four cousins of and Nina could heal five smart cousins of.',)",,,1,dev,1,0,996
"('Sherry could heal four ill cousins of and Nina could heal five smart.',)",,,0,dev,0,1,997
"(""Jacqueline's supervisors had arrived at a lot of rivers and every grandson of Jane had arrived at a few popular rivers."",)",,,1,dev,1,0,998
"(""Jacqueline's supervisors had arrived at a lot of bad rivers and every grandson of Jane had arrived at a few popular."",)",,,0,dev,0,1,999
"(""Bill's dentists have cleaned three windows and those brothers of Beverly have cleaned at least as many brown windows."",)",,,1,dev,1,0,1022
"(""Bill's dentists have cleaned three exposed windows and those brothers of Beverly have cleaned at least as many brown."",)",,,0,dev,0,1,1023
"(""Suzanne's grandmother discussed four ex-wives and Gregory discussed five nice ex-wives."",)",,,1,dev,1,0,1088
"(""Suzanne's grandmother discussed four hidden ex-wives and Gregory discussed five nice."",)",,,0,dev,0,1,1089
"(""The customer's grandson breaks a few couches and this patient breaks several out in the open couches."",)",,,1,dev,1,0,1110
"(""The customer's grandson breaks a few bad couches and this patient breaks several out in the open."",)",,,0,dev,0,1,1111
"(""Scott's supervisor boasts about three guests and Harvard University boasts about at least as many out in the open guests."",)",,,1,dev,1,0,1126
"(""Scott's supervisor boasts about three content guests and Harvard University boasts about at least as many out in the open."",)",,,0,dev,0,1,1127
"('Gregory had healed one patient and Rebecca had healed a lot important patient.',)",,,1,dev,1,0,1152
"('Gregory had healed one content patient and Rebecca had healed a lot important.',)",,,0,dev,0,1,1153
"(""This customer isn't helping few adults and Mitchell isn't helping many displeased adults."",)",,,1,dev,1,0,1154
"(""This customer isn't helping few standing adults and Mitchell isn't helping many displeased."",)",,,0,dev,0,1,1155
"(""Fathers of April buy one unicycle and Andrew's mentors buy more concealed unicycle."",)",,,1,dev,1,0,1220
"(""Fathers of April buy one exposed unicycle and Andrew's mentors buy more concealed."",)",,,0,dev,0,1,1221
"(""These adults' tutor did wear one shawl and Carolyn did wear two exposed shawl."",)",,,1,dev,1,0,1224
"(""These adults' tutor did wear one concealed shawl and Carolyn did wear two exposed."",)",,,0,dev,0,1,1225
"(""The guys' oncologists return to one ex-husband and Andrea's teachers return to many clever ex-husband."",)",,,1,dev,1,0,1266
"(""The guys' oncologists return to one unconvinced ex-husband and Andrea's teachers return to many clever."",)",,,0,dev,0,1,1267
"('This woman did kiss one pedestrian and the Clintons did kiss three excited pedestrian.',)",,,1,dev,1,0,1282
"('This woman did kiss one big pedestrian and the Clintons did kiss three excited.',)",,,0,dev,0,1,1283
"('The Clintons sound like one boss and all waiters sound like many scared boss.',)",,,1,dev,1,0,1300
"('The Clintons sound like one hidden boss and all waiters sound like many scared.',)",,,0,dev,0,1,1301
"('Stephanie watches one wife and Elaine watches two unconvinced wife.',)",,,1,dev,1,0,1302
"('Stephanie watches one employed wife and Elaine watches two unconvinced.',)",,,0,dev,0,1,1303
"(""The Impressionists' best friend wasn't disgusting one lawyer and the cousins of Carolyn were disgusting a few troubled lawyer."",)",,,1,dev,1,0,1312
"(""The Impressionists' best friend wasn't disgusting one concealed lawyer and the cousins of Carolyn were disgusting a few troubled."",)",,,0,dev,0,1,1313
"(""Most actors' handyman approaches one doctor and that cousin of Gary approaches five uncertain doctor."",)",,,1,dev,1,0,1316
"(""Most actors' handyman approaches one clever doctor and that cousin of Gary approaches five uncertain."",)",,,0,dev,0,1,1317
"('These nephews of most men forgot one doctor and Melanie forgot five determined doctor.',)",,,1,dev,1,0,1340
"('These nephews of most men forgot one uncertain doctor and Melanie forgot five determined.',)",,,0,dev,0,1,1341
"('Heather had praised one podiatrist and Vincent had praised several concealed podiatrist.',)",,,1,dev,1,0,1352
"('Heather had praised one unemployed podiatrist and Vincent had praised several concealed.',)",,,0,dev,0,1,1353
"(""Kendra's tutors couldn't investigate one ex-boyfriend and Jason couldn't investigate four unlucky ex-boyfriend."",)",,,1,dev,1,0,1356
"(""Kendra's tutors couldn't investigate one uncertain ex-boyfriend and Jason couldn't investigate four unlucky."",)",,,0,dev,0,1,1357
"(""Liam isn't attacking one sister of and Danielle's students are attacking at least as many standing sister of."",)",,,1,dev,1,0,1382
"(""Liam isn't attacking one happy sister of and Danielle's students are attacking at least as many standing."",)",,,0,dev,0,1,1383
"('Many grandmothers of some customers wear four coats and the students wear five old coats.',)",,,1,dev,1,0,1388
"('Many grandmothers of some customers wear four concealed coats and the students wear five old.',)",,,0,dev,0,1,1389
"(""Nina drops by no schools and Jason's husband drops by some orange schools."",)",,,1,dev,1,0,1400
"(""Nina drops by no black schools and Jason's husband drops by some orange."",)",,,0,dev,0,1,1401
"(""The guest's sons bothered one boy and that ice cream bothered three nice boy."",)",,,1,dev,1,0,1410
"(""The guest's sons bothered one uncertain boy and that ice cream bothered three nice."",)",,,0,dev,0,1,1411
"('Denise discovered one muffin and Meredith discovered four important muffin.',)",,,1,dev,1,0,1418
"('Denise discovered one purple muffin and Meredith discovered four important.',)",,,0,dev,0,1,1419
"(""Stacy couldn't care for one man and some teenagers' fathers couldn't care for a lot busy man."",)",,,1,dev,1,0,1434
"(""Stacy couldn't care for one clever man and some teenagers' fathers couldn't care for a lot busy."",)",,,0,dev,0,1,1435
"(""Janice wasn't criticizing one newspaper article and Brad wasn't criticizing three hard newspaper article."",)",,,1,dev,1,0,1438
"(""Janice wasn't criticizing one long newspaper article and Brad wasn't criticizing three hard."",)",,,0,dev,0,1,1439
"('Some nieces of every actress investigated a few granddaughters and Florence investigated a lot busy granddaughters.',)",,,1,dev,1,0,1470
"('Some nieces of every actress investigated a few concealed granddaughters and Florence investigated a lot busy.',)",,,0,dev,0,1,1471
"('The Impressionists disgusts one association and every candle disgusts more bad association.',)",,,1,dev,1,0,1484
"('The Impressionists disgusts one good association and every candle disgusts more bad.',)",,,0,dev,0,1,1485
"('Amy would run around a lot of libraries and Susan would run around a few old libraries.',)",,,1,dev,1,0,1508
"('Amy would run around a lot of black libraries and Susan would run around a few old.',)",,,0,dev,0,1,1509
"('Robert bothered one podiatrist and Samuel bothered four long podiatrist.',)",,,1,dev,1,0,1512
"('Robert bothered one unemployed podiatrist and Samuel bothered four long.',)",,,0,dev,0,1,1513
"('A library talked to three daughters of and Spain talked to at least as many standing daughters of.',)",,,1,dev,1,0,1536
"('A library talked to three ill daughters of and Spain talked to at least as many standing.',)",,,0,dev,0,1,1537
"(""The daughters of Daniel return to a few customers and Chad's best friends return to several scared customers."",)",,,1,dev,1,0,1540
"(""The daughters of Daniel return to a few determined customers and Chad's best friends return to several scared."",)",,,0,dev,0,1,1541
"('Andrea has argued about a few movies and Jacqueline has argued about a lot important movies.',)",,,1,dev,1,0,1544
"('Andrea has argued about a few popular movies and Jacqueline has argued about a lot important.',)",,,0,dev,0,1,1545
"(""Patricia wasn't boring one partner and Ann's partner wasn't boring some fast partner."",)",,,1,dev,1,0,1564
"(""Patricia wasn't boring one clever partner and Ann's partner wasn't boring some fast."",)",,,0,dev,0,1,1565
"(""That boy couldn't resemble five sketches of and these hats couldn't resemble four small sketches of."",)",,,1,dev,1,0,1590
"(""That boy couldn't resemble five smooth sketches of and these hats couldn't resemble four small."",)",,,0,dev,0,1,1591
"('Wendy can argue about no adults and Pamela can argue about some upset adults.',)",,,1,dev,1,0,1594
"('Wendy can argue about no lucky adults and Pamela can argue about some upset.',)",,,0,dev,0,1,1595
"('Helen biked to one bank and Sandra biked to many concealed bank.',)",,,1,dev,1,0,1596
"('Helen biked to one white bank and Sandra biked to many concealed.',)",,,0,dev,0,1,1597
"(""Craig does watch one boyfriend and all cousins of some child don't watch two good boyfriend."",)",,,1,dev,1,0,1654
"(""Craig does watch one bad boyfriend and all cousins of some child don't watch two good."",)",,,0,dev,0,1,1655
"(""A play aggravates three ex-husbands and Sandra's daughters aggravates more clever ex-husbands."",)",,,1,dev,1,0,1656
"(""A play aggravates three employed ex-husbands and Sandra's daughters aggravates more clever."",)",,,0,dev,0,1,1657
"('Keith skates around one college campus and Martha skates around a lot cheap college campus.',)",,,1,dev,1,0,1660
"('Keith skates around one red college campus and Martha skates around a lot cheap.',)",,,0,dev,0,1,1661
"(""Teresa can't discuss one senator and Stacey can't discuss five unemployed senator."",)",,,1,dev,1,0,1678
"(""Teresa can't discuss one delighted senator and Stacey can't discuss five unemployed."",)",,,0,dev,0,1,1679
"(""Patrick's electricians pass one cafe and Melinda's dermatologists pass three blue cafe."",)",,,1,dev,1,0,1716
"(""Patrick's electricians pass one concealed cafe and Melinda's dermatologists pass three blue."",)",,,0,dev,0,1,1717
"(""Todd's teachers alarms one nephew and that movie about Galileo alarms a lot troubled nephew."",)",,,1,dev,1,0,1736
"(""Todd's teachers alarms one standing nephew and that movie about Galileo alarms a lot troubled."",)",,,0,dev,0,1,1737
"('This dog impresses one bank and every unicycle impresses few yellow bank.',)",,,1,dev,1,0,1770
"('This dog impresses one brown bank and every unicycle impresses few yellow.',)",,,0,dev,0,1,1771
"(""Timothy's cousin couldn't escape from a few daughters of and Eva couldn't escape from a lot excited daughters of."",)",,,1,dev,1,0,1774
"(""Timothy's cousin couldn't escape from a few unlucky daughters of and Eva couldn't escape from a lot excited."",)",,,0,dev,0,1,1775
"('A lot of students research one organization and all doctors research more popular organization.',)",,,1,dev,1,0,1792
"('A lot of students research one good organization and all doctors research more popular.',)",,,0,dev,0,1,1793
"('Every glacier will resemble one painting of and Marla will resemble a few orange painting of.',)",,,1,dev,1,0,1798
"('Every glacier will resemble one green painting of and Marla will resemble a few orange.',)",,,0,dev,0,1,1799
"(""Brad hasn't brought one chair and Nina hasn't brought some blue chair."",)",,,1,dev,1,0,1822
"(""Brad hasn't brought one important chair and Nina hasn't brought some blue."",)",,,0,dev,0,1,1823
"(""Every father of Jerry was returning to three contractors and all people's grandfather was returning to fewer fast contractors."",)",,,1,dev,1,0,1854
"(""Every father of Jerry was returning to three standing contractors and all people's grandfather was returning to fewer fast."",)",,,0,dev,0,1,1855
"('Scott has investigated one mother and Judy has investigated a few lucky mother.',)",,,1,dev,1,0,1856
"('Scott has investigated one hopeful mother and Judy has investigated a few lucky.',)",,,0,dev,0,1,1857
"(""Frank's father is disagreeing with one boy and those sons of Peter weren't disagreeing with several scared boy."",)",,,1,dev,1,0,1864
"(""Frank's father is disagreeing with one exposed boy and those sons of Peter weren't disagreeing with several scared."",)",,,0,dev,0,1,1865
