inputs,context,topic,org_label,set-0,string_label,label,id
"('A lot of hospitals were astounded by some actress.',)",,,1,train,1,0,2
"('A lot of hospitals were cooperated by some actress.',)",,,0,train,0,1,3
"(""Larry's oncologists aren't helped by Spain."",)",,,1,train,1,0,4
"(""Larry's oncologists aren't struggled by Spain."",)",,,0,train,0,1,5
"(""Jeffrey's sons are insulted by Tina's supervisor."",)",,,1,train,1,0,6
"(""Jeffrey's sons are smiled by Tina's supervisor."",)",,,0,train,0,1,7
"(""Tracy isn't fired by Jodi's daughter."",)",,,1,train,1,0,8
"(""Tracy isn't muttered by Jodi's daughter."",)",,,0,train,0,1,9
"(""Eva's bosses weren't cared for by drivers."",)",,,1,train,1,0,10
"(""Eva's bosses weren't interacted by drivers."",)",,,0,train,0,1,11
"(""That guest's supervisor wasn't disliked by Wayne's partners."",)",,,1,train,1,0,14
"(""That guest's supervisor wasn't screamed by Wayne's partners."",)",,,0,train,0,1,15
"('Curtis was distracted by these high schools.',)",,,1,train,1,0,16
"('Curtis was argued by these high schools.',)",,,0,train,0,1,17
"(""The students weren't approached by Amy."",)",,,1,train,1,0,20
"(""The students weren't shouted by Amy."",)",,,0,train,0,1,21
"('The teenagers are irritated by that coat.',)",,,1,train,1,0,22
"('The teenagers are flirted by that coat.',)",,,0,train,0,1,23
"(""Girls' students were alarmed by Brenda."",)",,,1,train,1,0,24
"(""Girls' students were chatted by Brenda."",)",,,0,train,0,1,25
"(""Thomas's oncologist isn't talked about by a student."",)",,,1,train,1,0,26
"(""Thomas's oncologist isn't laughed by a student."",)",,,0,train,0,1,27
"(""Karen isn't remembered by Homer."",)",,,1,train,1,0,28
"(""Karen isn't joked around by Homer."",)",,,0,train,0,1,29
"(""The Impressionists aren't concealed by all banks."",)",,,1,train,1,0,30
"(""The Impressionists aren't competed by all banks."",)",,,0,train,0,1,31
"(""Deanna isn't respected by Ellen's doctors."",)",,,1,train,1,0,34
"(""Deanna isn't boasted by Ellen's doctors."",)",,,0,train,0,1,35
"(""Those customers' teachers are fired by Danielle."",)",,,1,train,1,0,36
"(""Those customers' teachers are suffered by Danielle."",)",,,0,train,0,1,37
"(""That girl's wife isn't visited by some waiters."",)",,,1,train,1,0,38
"(""That girl's wife isn't left by some waiters."",)",,,0,train,0,1,39
"(""These customers aren't referenced by Emily's colleagues."",)",,,1,train,1,0,40
"(""These customers aren't chatted by Emily's colleagues."",)",,,0,train,0,1,41
"(""Kenneth wasn't discussed by Grace."",)",,,1,train,1,0,42
"(""Kenneth wasn't answered by Grace."",)",,,0,train,0,1,43
"('Richard is investigated by the cashiers.',)",,,1,train,1,0,44
"('Richard is laughed by the cashiers.',)",,,0,train,0,1,45
"(""Most students weren't appreciated by Jesus."",)",,,1,train,1,0,46
"(""Most students weren't negotiated by Jesus."",)",,,0,train,0,1,47
"('Janice is approached by Samantha.',)",,,1,train,1,0,48
"('Janice is left by Samantha.',)",,,0,train,0,1,49
"(""Homer's partners weren't seen by Jesus."",)",,,1,train,1,0,50
"(""Lucille's sisters are confused by Amy."",)",,,1,dev,1,0,0
"(""Lucille's sisters are communicated by Amy."",)",,,0,dev,0,1,1
"('Some guys are disgusted by Angela.',)",,,1,dev,1,0,12
"('Some guys are corresponded by Angela.',)",,,0,dev,0,1,13
"(""Nicole's daughters were scanned by Vincent's mother."",)",,,1,dev,1,0,32
"(""Nicole's daughters were communicated by Vincent's mother."",)",,,0,dev,0,1,33
"(""Janet wasn't disgusted by Katherine's tutors."",)",,,1,dev,1,0,82
"(""Janet wasn't laughed by Katherine's tutors."",)",,,0,dev,0,1,83
"('The museum is described by Cindy.',)",,,1,dev,1,0,96
"('The museum is negotiated by Cindy.',)",,,0,dev,0,1,97
"(""Marla is discussed by Eva's granddaughter."",)",,,1,dev,1,0,122
