inputs,context,topic,org_label,set-0,string_label,label,id
"('Candice has taken that axis.',)",,,1,train,1,0,2
"('Candice has taken those axis.',)",,,0,train,0,1,3
"('The legislatures praise this woman.',)",,,1,train,1,0,6
"('The legislatures praise these woman.',)",,,0,train,0,1,7
"('Many icicles do bore that child.',)",,,1,train,1,0,8
"('Many icicles do bore those child.',)",,,0,train,0,1,9
"('Actors see this tooth.',)",,,1,train,1,0,10
"('Actors see these tooth.',)",,,0,train,0,1,11
"('Diane lifts these oxen.',)",,,1,train,1,0,12
"('Diane lifts this oxen.',)",,,0,train,0,1,13
"(""This window hadn't embarrassed those people."",)",,,1,train,1,0,20
"(""This window hadn't embarrassed that people."",)",,,0,train,0,1,21
"('Candice skated around these oases.',)",,,1,train,1,0,26
"('Candice skated around this oases.',)",,,0,train,0,1,27
"('Every story disagreed with these people.',)",,,1,train,1,0,32
"('Every story disagreed with this people.',)",,,0,train,0,1,33
"('Karla helped these men.',)",,,1,train,1,0,34
"('Karla helped this men.',)",,,0,train,0,1,35
"('A government has described that child.',)",,,1,train,1,0,36
"('A government has described those child.',)",,,0,train,0,1,37
"('Every customer discusses those theses.',)",,,1,train,1,0,38
"('Every customer discusses that theses.',)",,,0,train,0,1,39
"('Marla is attacking that man.',)",,,1,train,1,0,40
"('Marla is attacking those man.',)",,,0,train,0,1,41
"('Some cashiers hide that nucleus.',)",,,1,train,1,0,42
"('Some cashiers hide those nucleus.',)",,,0,train,0,1,43
"(""Ruth couldn't discover that fungus."",)",,,1,train,1,0,46
"(""Ruth couldn't discover those fungus."",)",,,0,train,0,1,47
"('Christine talks about this child.',)",,,1,train,1,0,48
"('Christine talks about these child.',)",,,0,train,0,1,49
"('All books were irritating those men.',)",,,1,train,1,0,50
"('All books were irritating that men.',)",,,0,train,0,1,51
"('Scott has bought these axes.',)",,,1,train,1,0,52
"('Scott has bought this axes.',)",,,0,train,0,1,53
"('Those mouths disturb that woman.',)",,,1,train,1,0,54
"('Those mouths disturb those woman.',)",,,0,train,0,1,55
"('Carl likes these geese.',)",,,1,train,1,0,56
"('Carl likes this geese.',)",,,0,train,0,1,57
"('Carlos returns to these children.',)",,,1,train,1,0,58
"('Carlos returns to this children.',)",,,0,train,0,1,59
"(""A legislature hadn't aggravated this person."",)",,,1,train,1,0,62
"(""A legislature hadn't aggravated these person."",)",,,0,train,0,1,63
"('Monica has loved this man.',)",,,1,train,1,0,64
"(""Kathleen wouldn't discuss that alumnus."",)",,,1,dev,1,0,24
"(""Kathleen wouldn't discuss those alumnus."",)",,,0,dev,0,1,25
"(""Becca hadn't boycotted those oases."",)",,,1,dev,1,0,60
"(""Becca hadn't boycotted that oases."",)",,,0,dev,0,1,61
"(""Gary wasn't healing this man."",)",,,1,dev,1,0,76
"(""Gary wasn't healing these man."",)",,,0,dev,0,1,77
"('Pamela is talking to these men.',)",,,1,dev,1,0,86
"('Pamela is talking to this men.',)",,,0,dev,0,1,87
"('Lissa sounds like those women.',)",,,1,dev,1,0,94
"('Lissa sounds like that women.',)",,,0,dev,0,1,95
"('Sabrina admired that person.',)",,,1,dev,1,0,100
"('Sabrina admired those person.',)",,,0,dev,0,1,101
"('The casseroles scare this woman.',)",,,1,dev,1,0,116
"('The casseroles scare these woman.',)",,,0,dev,0,1,117
"('A hill bothers this man.',)",,,1,dev,1,0,124
"('A hill bothers these man.',)",,,0,dev,0,1,125
"('Natalie references this child.',)",,,1,dev,1,0,128
"('Natalie references these child.',)",,,0,dev,0,1,129
"(""Carolyn wouldn't notice that foot."",)",,,1,dev,1,0,130
"(""Carolyn wouldn't notice those foot."",)",,,0,dev,0,1,131
"(""Holly hasn't cared for these men."",)",,,1,dev,1,0,270
"(""Holly hasn't cared for this men."",)",,,0,dev,0,1,271
"('Many pants confused these alumni.',)",,,1,dev,1,0,296
"('Many pants confused this alumni.',)",,,0,dev,0,1,297
"(""Allison hasn't cleaned those teeth."",)",,,1,dev,1,0,298
"(""Allison hasn't cleaned that teeth."",)",,,0,dev,0,1,299
"('Paul discusses this alumnus.',)",,,1,dev,1,0,318
"('Paul discusses these alumnus.',)",,,0,dev,0,1,319
"('Nicole is concealing this nucleus.',)",,,1,dev,1,0,320
"('Nicole is concealing these nucleus.',)",,,0,dev,0,1,321
"('Winston Churchill has skated around this oasis.',)",,,1,dev,1,0,328
"('Winston Churchill has skated around these oasis.',)",,,0,dev,0,1,329
"('These guys respect this man.',)",,,1,dev,1,0,388
"('These guys respect these man.',)",,,0,dev,0,1,389
"('Carlos listens to this man.',)",,,1,dev,1,0,418
"('Carlos listens to these man.',)",,,0,dev,0,1,419
"('Jill drops by those oases.',)",,,1,dev,1,0,424
"('Jill drops by that oases.',)",,,0,dev,0,1,425
"('Jacqueline worried that child.',)",,,1,dev,1,0,440
"('Jacqueline worried those child.',)",,,0,dev,0,1,441
"('Keith examined that thesis.',)",,,1,dev,1,0,452
"('Keith examined those thesis.',)",,,0,dev,0,1,453
"('Deanna is arriving at these oases.',)",,,1,dev,1,0,466
"('Deanna is arriving at this oases.',)",,,0,dev,0,1,467
"(""Deanna can't sound like those men."",)",,,1,dev,1,0,486
"(""Deanna can't sound like that men."",)",,,0,dev,0,1,487
"(""These patients couldn't drop by this oasis."",)",,,1,dev,1,0,500
"(""These patients couldn't drop by these oasis."",)",,,0,dev,0,1,501
"(""Dennis wasn't dropping by those oases."",)",,,1,dev,1,0,528
"(""Dennis wasn't dropping by that oases."",)",,,0,dev,0,1,529
"('Spain should hate that woman.',)",,,1,dev,1,0,654
"('Spain should hate those woman.',)",,,0,dev,0,1,655
"('Some candles bore that man.',)",,,1,dev,1,0,666
"('Some candles bore those man.',)",,,0,dev,0,1,667
"('Amanda conceals those theses.',)",,,1,dev,1,0,672
"('Amanda conceals that theses.',)",,,0,dev,0,1,673
"('Cindy had taken that ox.',)",,,1,dev,1,0,676
"('Cindy had taken those ox.',)",,,0,dev,0,1,677
"(""Regina wasn't attacking that alumnus."",)",,,1,dev,1,0,796
"(""Regina wasn't attacking those alumnus."",)",,,0,dev,0,1,797
"(""Richard isn't talking to this man."",)",,,1,dev,1,0,810
"(""Richard isn't talking to these man."",)",,,0,dev,0,1,811
"('William is disgusting those women.',)",,,1,dev,1,0,830
"('William is disgusting that women.',)",,,0,dev,0,1,831
"('Many people complain about those oases.',)",,,1,dev,1,0,860
"('Many people complain about that oases.',)",,,0,dev,0,1,861
"('Caroline did fire this child.',)",,,1,dev,1,0,862
"('Caroline did fire these child.',)",,,0,dev,0,1,863
"('Shoes bore that child.',)",,,1,dev,1,0,872
"('Shoes bore those child.',)",,,0,dev,0,1,873
"('Deborah biked to that oasis.',)",,,1,dev,1,0,922
"('Deborah biked to those oasis.',)",,,0,dev,0,1,923
"('Becky appreciated those men.',)",,,1,dev,1,0,938
"('Becky appreciated that men.',)",,,0,dev,0,1,939
"('Some unicycles impress those men.',)",,,1,dev,1,0,948
"('Some unicycles impress that men.',)",,,0,dev,0,1,949
"('Kendra did leave those women.',)",,,1,dev,1,0,952
"('Kendra did leave that women.',)",,,0,dev,0,1,953
"('Melanie cleaned these axes.',)",,,1,dev,1,0,954
"('Melanie cleaned this axes.',)",,,0,dev,0,1,955
"('Sally disagrees with those men.',)",,,1,dev,1,0,970
"('Sally disagrees with that men.',)",,,0,dev,0,1,971
"('Walter has hired this woman.',)",,,1,dev,1,0,978
"('Walter has hired these woman.',)",,,0,dev,0,1,979
"('Katherine disgusted this alumnus.',)",,,1,dev,1,0,994
"('Katherine disgusted these alumnus.',)",,,0,dev,0,1,995
"('Rachel broke these feet.',)",,,1,dev,1,0,998
"('Rachel broke this feet.',)",,,0,dev,0,1,999
"('Noah skates around these oases.',)",,,1,dev,1,0,1038
"('Noah skates around this oases.',)",,,0,dev,0,1,1039
"('The actresses boycott these oases.',)",,,1,dev,1,0,1054
"('The actresses boycott this oases.',)",,,0,dev,0,1,1055
"(""Most guys couldn't pass these oases."",)",,,1,dev,1,0,1094
"(""Most guys couldn't pass this oases."",)",,,0,dev,0,1,1095
"('The Borgias work with these people.',)",,,1,dev,1,0,1096
"('The Borgias work with this people.',)",,,0,dev,0,1,1097
"(""Some high school isn't confusing those men."",)",,,1,dev,1,0,1116
"(""Some high school isn't confusing that men."",)",,,0,dev,0,1,1117
"(""Elizabeth can't describe these people."",)",,,1,dev,1,0,1136
"(""Elizabeth can't describe this people."",)",,,0,dev,0,1,1137
"('The public park annoys this child.',)",,,1,dev,1,0,1138
"('The public park annoys these child.',)",,,0,dev,0,1,1139
"('Cindy was running around these oases.',)",,,1,dev,1,0,1150
"('Cindy was running around this oases.',)",,,0,dev,0,1,1151
"('Ellen had broken this tooth.',)",,,1,dev,1,0,1172
"('Ellen had broken these tooth.',)",,,0,dev,0,1,1173
"('That horse upsets those men.',)",,,1,dev,1,0,1194
