inputs,context,topic,org_label,set-0,string_label,label,id
"('Some college campus embarrassed those bad legislatures.',)",,,1,train,1,0,2
"('Some college campus embarrassed those bad legislature.',)",,,0,train,0,1,3
"(""All men weren't questioning these unemployed cashiers."",)",,,1,train,1,0,4
"(""All men weren't questioning these unemployed cashier."",)",,,0,train,0,1,5
"('A lot of pedestrians kiss this displeased teenager.',)",,,1,train,1,0,8
"('A lot of pedestrians kiss this displeased teenagers.',)",,,0,train,0,1,9
"('James is healing this uncertain actress.',)",,,1,train,1,0,10
"('James is healing this uncertain actresses.',)",,,0,train,0,1,11
"('Phillip liked that smooth horse.',)",,,1,train,1,0,14
"('Phillip liked that smooth horses.',)",,,0,train,0,1,15
"('A doctor had returned to these fast girls.',)",,,1,train,1,0,18
"('A doctor had returned to these fast girl.',)",,,0,train,0,1,19
"('A lot of drawings had irritated those clean hospitals.',)",,,1,train,1,0,20
"('A lot of drawings had irritated those clean hospital.',)",,,0,train,0,1,21
"('Many customers do clean those yellow plates.',)",,,1,train,1,0,22
"('Many customers do clean those yellow plate.',)",,,0,train,0,1,23
"(""Scott hadn't fired that uncertain actor."",)",,,1,train,1,0,24
"(""Scott hadn't fired that uncertain actors."",)",,,0,train,0,1,25
"(""Martha shouldn't upset these excited doctors."",)",,,1,train,1,0,28
"(""Martha shouldn't upset these excited doctor."",)",,,0,train,0,1,29
"('Many teachers should appreciate that bad play.',)",,,1,train,1,0,30
"('Many teachers should appreciate that bad plays.',)",,,0,train,0,1,31
"('Bruce criticizes that happy lady.',)",,,1,train,1,0,34
"('Bruce criticizes that happy ladies.',)",,,0,train,0,1,35
"('Some man hugs these good actresses.',)",,,1,train,1,0,36
"('Some man hugs these good actress.',)",,,0,train,0,1,37
"('Tara fired that uncertain cashier.',)",,,1,train,1,0,40
"('Tara fired that uncertain cashiers.',)",,,0,train,0,1,41
"(""Becca isn't dropping by this brown art gallery."",)",,,1,train,1,0,42
"(""Becca isn't dropping by this brown art galleries."",)",,,0,train,0,1,43
"('James was approaching these bad doctors.',)",,,1,train,1,0,44
"('James was approaching these bad doctor.',)",,,0,train,0,1,45
"('A lot of guests notice that troubled waiter.',)",,,1,train,1,0,48
"('A lot of guests notice that troubled waiters.',)",,,0,train,0,1,49
"('Tara appreciates these displeased teenagers.',)",,,1,train,1,0,54
"('Tara appreciates these displeased teenager.',)",,,0,train,0,1,55
"('Many adults question this bad association.',)",,,1,train,1,0,56
"('Many adults question this bad associations.',)",,,0,train,0,1,57
"('Men help these uncertain teachers.',)",,,1,train,1,0,58
"('Men help these uncertain teacher.',)",,,0,train,0,1,59
"('Catherine went to this rough art gallery.',)",,,1,train,1,0,62
"('Catherine went to this rough art galleries.',)",,,0,train,0,1,63
"('Every drawing annoys that popular pedestrian.',)",,,1,train,1,0,64
"('Rebecca was criticizing those good documentaries.',)",,,1,dev,1,0,0
"('Rebecca was criticizing those good documentary.',)",,,0,dev,0,1,1
"('Turtles aggravated these important associations.',)",,,1,dev,1,0,38
"('Turtles aggravated these important association.',)",,,0,dev,0,1,39
"('All patients examine these gray pamphlets.',)",,,1,dev,1,0,204
"('All patients examine these gray pamphlet.',)",,,0,dev,0,1,205
"('Frank explored these dirty museums.',)",,,1,dev,1,0,224
"('Frank explored these dirty museum.',)",,,0,dev,0,1,225
"(""Some adult hasn't brought this red cafe."",)",,,1,dev,1,0,268
"(""Some adult hasn't brought this red cafes."",)",,,0,dev,0,1,269
"('Some dishes impress those big doctors.',)",,,1,dev,1,0,270
"('Some dishes impress those big doctor.',)",,,0,dev,0,1,271
"(""Derek didn't reference this bad play."",)",,,1,dev,1,0,330
"(""Derek didn't reference this bad plays."",)",,,0,dev,0,1,331
"('Those students argue about this serious adult.',)",,,1,dev,1,0,334
"('Those students argue about this serious adults.',)",,,0,dev,0,1,335
"('The Lutherans cleaned those big libraries.',)",,,1,dev,1,0,346
"('The Lutherans cleaned those big library.',)",,,0,dev,0,1,347
"('A lot of dancers notice this busy boy.',)",,,1,dev,1,0,348
"('A lot of dancers notice this busy boys.',)",,,0,dev,0,1,349
"('A couch stuns that important girl.',)",,,1,dev,1,0,352
"('A couch stuns that important girls.',)",,,0,dev,0,1,353
"('Carol does break that dirty cup.',)",,,1,dev,1,0,370
"('Carol does break that dirty cups.',)",,,0,dev,0,1,371
"('All trucks resemble this brown painting.',)",,,1,dev,1,0,388
"('All trucks resemble this brown paintings.',)",,,0,dev,0,1,389
"('Most pictures look like these small art galleries.',)",,,1,dev,1,0,410
"('Most pictures look like these small art gallery.',)",,,0,dev,0,1,411
"(""Dennis wasn't arguing about this big brochure."",)",,,1,dev,1,0,416
"(""Dennis wasn't arguing about this big brochures."",)",,,0,dev,0,1,417
"('Keith had impressed this delighted guest.',)",,,1,dev,1,0,454
