inputs,context,topic,org_label,set-0,string_label,label,id
"('Every fish was there astounding Sally.',)",,,1,train,1,0,2
"('There was every fish astounding Sally.',)",,,0,train,0,1,3
"('Every documentary is there annoying Anna.',)",,,1,train,1,0,6
"('There is every documentary annoying Anna.',)",,,0,train,0,1,7
"('Each screen is there alarming Tara.',)",,,1,train,1,0,14
"('There is each screen alarming Tara.',)",,,0,train,0,1,15
"(""Most universities weren't there hurting this child."",)",,,1,train,1,0,16
"(""There weren't most universities hurting this child."",)",,,0,train,0,1,17
"('Each book is there disturbing Margaret.',)",,,1,train,1,0,18
"('There is each book disturbing Margaret.',)",,,0,train,0,1,19
"('Most shows about the Great Lakes are there distracting Lisa.',)",,,1,train,1,0,26
"('There are most shows about the Great Lakes distracting Lisa.',)",,,0,train,0,1,27
"('Most nephews of Irene were there telephoning.',)",,,1,train,1,0,28
"('There were most nephews of Irene telephoning.',)",,,0,train,0,1,29
"('Every story was there hurting Judy.',)",,,1,train,1,0,32
"('There was every story hurting Judy.',)",,,0,train,0,1,33
"(""Most computers weren't there alarming Sabrina."",)",,,1,train,1,0,36
"(""There weren't most computers alarming Sabrina."",)",,,0,train,0,1,37
"(""Every computer wasn't there shocking that actress."",)",,,1,train,1,0,38
"(""There wasn't every computer shocking that actress."",)",,,0,train,0,1,39
"(""Most reports aren't there disappearing."",)",,,1,train,1,0,40
"(""There aren't most reports disappearing."",)",,,0,train,0,1,41
"('Each university was there worrying.',)",,,1,train,1,0,42
"('There was each university worrying.',)",,,0,train,0,1,43
"(""Every popsicle isn't there wasting away."",)",,,1,train,1,0,44
"(""There isn't every popsicle wasting away."",)",,,0,train,0,1,45
"(""All granddaughters of Donald weren't there confusing this doctor."",)",,,1,train,1,0,46
"(""There weren't all granddaughters of Donald confusing this doctor."",)",,,0,train,0,1,47
"(""Every coat wasn't there twirling."",)",,,1,train,1,0,50
"(""There wasn't every coat twirling."",)",,,0,train,0,1,51
"(""Each essay isn't there embarrassing Kenneth."",)",,,1,train,1,0,54
"(""There isn't each essay embarrassing Kenneth."",)",,,0,train,0,1,55
"('All dancers are there talking to Pamela.',)",,,1,train,1,0,60
"('There are all dancers talking to Pamela.',)",,,0,train,0,1,61
"(""Most sisters of Veronica weren't there clashing."",)",,,1,train,1,0,62
"(""There weren't most sisters of Veronica clashing."",)",,,0,train,0,1,63
"('All lights are there distracting Sarah.',)",,,1,train,1,0,64
"('There are all lights distracting Sarah.',)",,,0,train,0,1,65
"(""All daughters of these teachers weren't there messing up pants."",)",,,1,train,1,0,66
"(""There weren't all daughters of these teachers messing up pants."",)",,,0,train,0,1,67
"(""Every casserole isn't there looking like a lot of sketches."",)",,,1,train,1,0,68
"(""There isn't every casserole looking like a lot of sketches."",)",,,0,train,0,1,69
"('Each picture is there appearing.',)",,,1,train,1,0,72
"(""All sisters of Roger weren't there going to this school."",)",,,1,dev,1,0,4
"(""There weren't all sisters of Roger going to this school."",)",,,0,dev,0,1,5
"(""Every newspaper article wasn't there wasting away."",)",,,1,dev,1,0,10
"(""There wasn't every newspaper article wasting away."",)",,,0,dev,0,1,11
"(""Most cars weren't there scaring Kendra."",)",,,1,dev,1,0,48
"(""There weren't most cars scaring Kendra."",)",,,0,dev,0,1,49
"('All bikes are there embarrassing Brian.',)",,,1,dev,1,0,52
"('There are all bikes embarrassing Brian.',)",,,0,dev,0,1,53
"('Most boys are there divorcing.',)",,,1,dev,1,0,132
"('There are most boys divorcing.',)",,,0,dev,0,1,133
"('Each casserole is there alarming Anne.',)",,,1,dev,1,0,142
"('There is each casserole alarming Anne.',)",,,0,dev,0,1,143
"(""All windows aren't there alarming a committee."",)",,,1,dev,1,0,154
"(""There aren't all windows alarming a committee."",)",,,0,dev,0,1,155
"(""Every doctor wasn't there existing."",)",,,1,dev,1,0,156
"(""There wasn't every doctor existing."",)",,,0,dev,0,1,157
"('Most libraries were there boring Sally.',)",,,1,dev,1,0,172
"('There were most libraries boring Sally.',)",,,0,dev,0,1,173
"('Most waiters were there worrying Carla.',)",,,1,dev,1,0,184
"('There were most waiters worrying Carla.',)",,,0,dev,0,1,185
"('All waiters are there fleeing from Eva.',)",,,1,dev,1,0,220
"('There are all waiters fleeing from Eva.',)",,,0,dev,0,1,221
"('Each jacket is there existing.',)",,,1,dev,1,0,234
"('There is each jacket existing.',)",,,0,dev,0,1,235
"('Each banana was there astounding Candice.',)",,,1,dev,1,0,266
"('There was each banana astounding Candice.',)",,,0,dev,0,1,267
"(""All movies weren't there winning."",)",,,1,dev,1,0,292
"(""There weren't all movies winning."",)",,,0,dev,0,1,293
"(""All movies about the Borgias weren't there winning."",)",,,1,dev,1,0,342
"(""There weren't all movies about the Borgias winning."",)",,,0,dev,0,1,343
"('Most snakes are there disappearing.',)",,,1,dev,1,0,354
"('There are most snakes disappearing.',)",,,0,dev,0,1,355
"(""All cats weren't there irritating Lawrence."",)",,,1,dev,1,0,362
"(""There weren't all cats irritating Lawrence."",)",,,0,dev,0,1,363
"('Most pies are there shocking Brett.',)",,,1,dev,1,0,368
"('There are most pies shocking Brett.',)",,,0,dev,0,1,369
"(""Most wheelbarrows weren't there disturbing Brenda."",)",,,1,dev,1,0,370
"(""There weren't most wheelbarrows disturbing Brenda."",)",,,0,dev,0,1,371
"('All drawings of every box were there existing.',)",,,1,dev,1,0,384
"('There were all drawings of every box existing.',)",,,0,dev,0,1,385
"(""Every unicycle isn't there impressing Sabrina."",)",,,1,dev,1,0,388
"(""There isn't every unicycle impressing Sabrina."",)",,,0,dev,0,1,389
"(""Each mirror wasn't there wasting away."",)",,,1,dev,1,0,390
"(""There wasn't each mirror wasting away."",)",,,0,dev,0,1,391
"('Most shows about art are there scaring Samuel.',)",,,1,dev,1,0,424
"('There are most shows about art scaring Samuel.',)",,,0,dev,0,1,425
"('Each school is there discovering every lamp to brighten.',)",,,1,dev,1,0,488
"('There is each school discovering every lamp to brighten.',)",,,0,dev,0,1,489
"('Each photograph was there stunning Amelia.',)",,,1,dev,1,0,508
"('There was each photograph stunning Amelia.',)",,,0,dev,0,1,509
"(""All icicles aren't there disappearing."",)",,,1,dev,1,0,518
"(""There aren't all icicles disappearing."",)",,,0,dev,0,1,519
"('All grandsons of Aaron were there disappearing.',)",,,1,dev,1,0,524
"('There were all grandsons of Aaron disappearing.',)",,,0,dev,0,1,525
"(""Each play about the Lutherans isn't there bothering Deanna."",)",,,1,dev,1,0,550
"(""There isn't each play about the Lutherans bothering Deanna."",)",,,0,dev,0,1,551
