inputs,context,topic,org_label,set-0,string_label,label,id
"('Patricia had changed.',)",,,1,train,1,0,0
"('Patricia had forgotten.',)",,,0,train,0,1,1
"('A lot of closets could fling open.',)",,,1,train,1,0,2
"('A lot of closets could buy.',)",,,0,train,0,1,3
"('All pants loosen.',)",,,1,train,1,0,4
"('All pants brought.',)",,,0,train,0,1,5
"(""Many glasses aren't warping."",)",,,1,train,1,0,6
"(""Many glasses aren't messing up."",)",,,0,train,0,1,7
"('A screen was fading.',)",,,1,train,1,0,8
"('A screen was cleaning.',)",,,0,train,0,1,9
"('Every mountain sells.',)",,,1,train,1,0,10
"('Every mountain climbs down.',)",,,0,train,0,1,11
"(""All rivers can't melt."",)",,,1,train,1,0,12
"(""All rivers can't reveal."",)",,,0,train,0,1,13
"('These carriages have maneuvered.',)",,,1,train,1,0,22
"('These carriages have looked like.',)",,,0,train,0,1,23
"(""Clyde's oncologists weren't reuniting."",)",,,1,train,1,0,24
"(""Clyde's oncologists weren't boring."",)",,,0,train,0,1,25
"(""Benjamin's tutors spin around."",)",,,1,train,1,0,26
"(""Benjamin's tutors respect."",)",,,0,train,0,1,27
"(""The sock isn't flattening."",)",,,1,train,1,0,28
"(""The sock isn't wearing."",)",,,0,train,0,1,29
"('This candle did dim.',)",,,1,train,1,0,30
"('This candle did look like.',)",,,0,train,0,1,31
"('Rivers vaporized.',)",,,1,train,1,0,32
"('Rivers pass.',)",,,0,train,0,1,33
"('Planes accelerate.',)",,,1,train,1,0,36
"('Planes had.',)",,,0,train,0,1,37
"('Many carriages slow.',)",,,1,train,1,0,38
"('Many carriages admire.',)",,,0,train,0,1,39
"(""Diane's granddaughters weren't worrying."",)",,,1,train,1,0,40
"(""Diane's granddaughters weren't looking like."",)",,,0,train,0,1,41
"('Some feet chip.',)",,,1,train,1,0,42
"('Some feet have.',)",,,0,train,0,1,43
"('A lot of bananas baked.',)",,,1,train,1,0,44
"('A lot of bananas brought.',)",,,0,train,0,1,45
"(""Dennis didn't sit down."",)",,,1,train,1,0,46
"(""Dennis didn't kiss."",)",,,0,train,0,1,47
"(""The bicycle wasn't slowing."",)",,,1,train,1,0,50
"(""The bicycle wasn't revealing."",)",,,0,train,0,1,51
"(""Ella's grandfathers hurt."",)",,,1,train,1,0,54
"(""Ella's grandfathers reference."",)",,,0,train,0,1,55
"('That sweater twirls.',)",,,1,train,1,0,56
"(""Boys weren't assembling."",)",,,1,dev,1,0,34
"(""Boys weren't leaving."",)",,,0,dev,0,1,35
"('Most glaciers freeze.',)",,,1,dev,1,0,48
"('Most glaciers look like.',)",,,0,dev,0,1,49
"('What wrinkles.',)",,,1,dev,1,0,64
"('What arrives at.',)",,,0,dev,0,1,65
