inputs,context,topic,org_label,set-0,string_label,label,id
"('Some turtles alarm Kimberley.',)",,,1,train,1,0,0
"('Some turtles come here Kimberley.',)",,,0,train,0,1,1
"('Diane watched Alan.',)",,,1,train,1,0,2
"('Diane screamed Alan.',)",,,0,train,0,1,3
"('This cousin of Theodore buys some mushroom.',)",,,1,train,1,0,4
"('This cousin of Theodore wept some mushroom.',)",,,0,train,0,1,5
"('Rhonda was arguing about this nephew of Dana.',)",,,1,train,1,0,6
"('Rhonda was going fishing this nephew of Dana.',)",,,0,train,0,1,7
"(""A lot of actresses' nieces have toured that art gallery."",)",,,1,train,1,0,8
"(""A lot of actresses' nieces have coped that art gallery."",)",,,0,train,0,1,9
"('Debra wears many skirts.',)",,,1,train,1,0,10
"('Debra slumps over many skirts.',)",,,0,train,0,1,11
"(""Chad's daughters embarrasses Erin's girlfriend."",)",,,1,train,1,0,12
"(""Chad's daughters screamed Erin's girlfriend."",)",,,0,train,0,1,13
"('Elaine criticized Jill.',)",,,1,train,1,0,14
"('Elaine shrugs Jill.',)",,,0,train,0,1,15
"('The pedestrians question some people.',)",,,1,train,1,0,16
"('The pedestrians wave some people.',)",,,0,train,0,1,17
"('Vanessa has gone to a lot of college campuses.',)",,,1,train,1,0,18
"('Vanessa has smiled a lot of college campuses.',)",,,0,train,0,1,19
"('Those committees listened to Kristen.',)",,,1,train,1,0,20
"('Those committees react Kristen.',)",,,0,train,0,1,21
"(""Theresa shouldn't scan this essay."",)",,,1,train,1,0,24
"(""Theresa shouldn't murmur this essay."",)",,,0,train,0,1,25
"(""Donna talked about Anna's friends."",)",,,1,train,1,0,34
"(""Donna replies Anna's friends."",)",,,0,train,0,1,35
"('Many sisters of some guest forget Eva.',)",,,1,train,1,0,36
"('Many sisters of some guest murmured Eva.',)",,,0,train,0,1,37
"('Bill explores the bank.',)",,,1,train,1,0,44
"('Bill wept the bank.',)",,,0,train,0,1,45
"('These grandmothers of Rebecca remembered Angela.',)",,,1,train,1,0,46
"('These grandmothers of Rebecca flirted Angela.',)",,,0,train,0,1,47
"('Many universities describe Samantha.',)",,,1,train,1,0,48
"('Many universities reacted Samantha.',)",,,0,train,0,1,49
"('A lot of grandmothers of Melanie go to the mall.',)",,,1,train,1,0,50
"('A lot of grandmothers of Melanie murmured the mall.',)",,,0,train,0,1,51
"(""Stacy's cousins haven't scanned many drivers' oncologists."",)",,,1,train,1,0,52
"(""Stacy's cousins haven't concurred many drivers' oncologists."",)",,,0,train,0,1,53
"('Christopher researched most public parks.',)",,,1,train,1,0,56
"('Christopher suffered most public parks.',)",,,0,train,0,1,57
"('Melinda explores those closets.',)",,,1,train,1,0,58
"('Melinda slumped over those closets.',)",,,0,train,0,1,59
"('Most nieces of Jacqueline worry Phillip.',)",,,1,train,1,0,60
"(""Andrea's ex-husbands toured this art gallery."",)",,,1,dev,1,0,26
