inputs,context,topic,org_label,set-0,string_label,label,id
"('Whose restaurants is Clyde exiting and Amelia talking about?',)",,,1,train,1,0,2
"('Whose is Clyde exiting restaurants and Amelia talking about?',)",,,0,train,0,1,3
"('What lights could Spain sell and Andrea discover?',)",,,1,train,1,0,6
"('What could Spain sell lights and Andrea discover?',)",,,0,train,0,1,7
"('What paintings has Melissa looked like and Erin revealed?',)",,,1,train,1,0,8
"('What has Melissa looked like paintings and Erin revealed?',)",,,0,train,0,1,9
"('Which carriages has Melanie found and Diana revealed?',)",,,1,train,1,0,10
"('Which has Melanie found carriages and Diana revealed?',)",,,0,train,0,1,11
"('What schools were many cars embarrassing and Daniel driving to?',)",,,1,train,1,0,20
"('What were many cars embarrassing schools and Daniel driving to?',)",,,0,train,0,1,21
"('What cafes could some teenager skate around and a lot of committees conceal?',)",,,1,train,1,0,22
"('What could some teenager skate around cafes and a lot of committees conceal?',)",,,0,train,0,1,23
"('What lakes had Elaine escaped from and Gary thought about?',)",,,1,train,1,0,24
"('What had Elaine escaped from lakes and Gary thought about?',)",,,0,train,0,1,25
"('What mountains is Aaron lifting and that woman insulting?',)",,,1,train,1,0,26
"('What is Aaron lifting mountains and that woman insulting?',)",,,0,train,0,1,27
"('Which children had Phillip worried and Dawn disturbed?',)",,,1,train,1,0,28
"('Which had Phillip worried children and Dawn disturbed?',)",,,0,train,0,1,29
"('Whose closets can drivers arrive at and Heidi walk through?',)",,,1,train,1,0,30
"('Whose can drivers arrive at closets and Heidi walk through?',)",,,0,train,0,1,31
"('Which students has Steve hired and Monet hated?',)",,,1,train,1,0,32
"('Which has Steve hired students and Monet hated?',)",,,0,train,0,1,33
"('Which libraries had those waiters lifted and Alicia explored?',)",,,1,train,1,0,36
"('Which had those waiters lifted libraries and Alicia explored?',)",,,0,train,0,1,37
"('Which students does Leslie kiss and Kendra visit?',)",,,1,train,1,0,40
"('Which does Leslie kiss students and Kendra visit?',)",,,0,train,0,1,41
"('Which teachers did Veronica work with and the rivers bore?',)",,,1,train,1,0,42
"('Which did Veronica work with teachers and the rivers bore?',)",,,0,train,0,1,43
"('What adults is Jodi curing and Karen returning to?',)",,,1,train,1,0,44
"('What is Jodi curing adults and Karen returning to?',)",,,0,train,0,1,45
"('What slopes had Lori descended and Carlos climbed down?',)",,,1,train,1,0,48
"('What had Lori descended slopes and Carlos climbed down?',)",,,0,train,0,1,49
"('Which women could Emily criticize and Christine notice?',)",,,1,train,1,0,50
"('Which could Emily criticize women and Christine notice?',)",,,0,train,0,1,51
"('Which lakes had most girls biked to and most drivers described?',)",,,1,train,1,0,52
"('Which had most girls biked to lakes and most drivers described?',)",,,0,train,0,1,53
"('Which teeth is Samuel fixing and Grace selling?',)",,,1,train,1,0,56
"('Which is Samuel fixing teeth and Grace selling?',)",,,0,train,0,1,57
"('What cashiers is Ellen shocking and the waitresses boring?',)",,,1,train,1,0,60
"('What is Ellen shocking cashiers and the waitresses boring?',)",,,0,train,0,1,61
"('Which doctors is Angela hugging and Paula admiring?',)",,,1,train,1,0,62
"('Which is Angela hugging doctors and Paula admiring?',)",,,0,train,0,1,63
"('Which men does Theresa describe and every coat worry?',)",,,1,train,1,0,64
"('What senators was Alicia approaching and some teachers scaring?',)",,,1,dev,1,0,0
"('What was Alicia approaching senators and some teachers scaring?',)",,,0,dev,0,1,1
"('Which teenagers had Tamara hired and Grace fired?',)",,,1,dev,1,0,4
"('Which had Tamara hired teenagers and Grace fired?',)",,,0,dev,0,1,5
"('What offspring has William stunned and Melinda escaped from?',)",,,1,dev,1,0,12
"('What has William stunned offspring and Melinda escaped from?',)",,,0,dev,0,1,13
"('What alumni might some socks shock and Denise appreciate?',)",,,1,dev,1,0,14
"('What might some socks shock alumni and Denise appreciate?',)",,,0,dev,0,1,15
"('Which girls is the dress irritating and the Lutherans revealing?',)",,,1,dev,1,0,16
"('Which is the dress irritating girls and the Lutherans revealing?',)",,,0,dev,0,1,17
"('Which children has Valerie approached and Sonia hurt?',)",,,1,dev,1,0,38
"('Which has Valerie approached children and Sonia hurt?',)",,,0,dev,0,1,39
"('Which men had some museums known and some waitress listened to?',)",,,1,dev,1,0,76
"('Which had some museums known men and some waitress listened to?',)",,,0,dev,0,1,77
"('Which actresses is Donna boring and Denise alarming?',)",,,1,dev,1,0,100
"('Which is Donna boring actresses and Denise alarming?',)",,,0,dev,0,1,101
"('What companies was music astounding and David disturbing?',)",,,1,dev,1,0,138
"('What was music astounding companies and David disturbing?',)",,,0,dev,0,1,139
"('Which boys was Noah praising and a child approaching?',)",,,1,dev,1,0,144
"('Which was Noah praising boys and a child approaching?',)",,,0,dev,0,1,145
"('Whose windows do most doctors break and Melissa lift?',)",,,1,dev,1,0,150
"('Whose do most doctors break windows and Melissa lift?',)",,,0,dev,0,1,151
"('What students could some senator boast about and Eric cure?',)",,,1,dev,1,0,172
"('What could some senator boast about students and Eric cure?',)",,,0,dev,0,1,173
"('Which guests had Galileo forgotten and Kevin distracted?',)",,,1,dev,1,0,178
"('Which had Galileo forgotten guests and Kevin distracted?',)",,,0,dev,0,1,179
"('Whose plays has an adult examined and George sounded like?',)",,,1,dev,1,0,186
"('Whose has an adult examined plays and George sounded like?',)",,,0,dev,0,1,187
"('Which movie theaters has Gregory exited and Joseph left?',)",,,1,dev,1,0,190
"('Which has Gregory exited movie theaters and Joseph left?',)",,,0,dev,0,1,191
"('What alumni has the student distracted and Diana appreciated?',)",,,1,dev,1,0,194
"('What has the student distracted alumni and Diana appreciated?',)",,,0,dev,0,1,195
"('Whose ladders has the lady ascended and Lawrence revealed?',)",,,1,dev,1,0,196
"('Whose has the lady ascended ladders and Lawrence revealed?',)",,,0,dev,0,1,197
"('What people does every vase disturb and every hill scare?',)",,,1,dev,1,0,212
"('What does every vase disturb people and every hill scare?',)",,,0,dev,0,1,213
"('Which pedestrians was Connie questioning and Leslie distracting?',)",,,1,dev,1,0,216
"('Which was Connie questioning pedestrians and Leslie distracting?',)",,,0,dev,0,1,217
"('Which governments were all public parks stunning and Christina aggravating?',)",,,1,dev,1,0,218
"('Which were all public parks stunning governments and Christina aggravating?',)",,,0,dev,0,1,219
"('Whose carts were the Impressionists hiding and Martin fixing?',)",,,1,dev,1,0,238
"('Whose were the Impressionists hiding carts and Martin fixing?',)",,,0,dev,0,1,239
"('Which committees had Thomas questioned and Douglas worried?',)",,,1,dev,1,0,300
"('Which had Thomas questioned committees and Douglas worried?',)",,,0,dev,0,1,301
"('Whose malls had Monica toured and Teresa fled from?',)",,,1,dev,1,0,306
"('Whose had Monica toured malls and Teresa fled from?',)",,,0,dev,0,1,307
"('What schools was Holly boycotting and Derek touring?',)",,,1,dev,1,0,316
"('What was Holly boycotting schools and Derek touring?',)",,,0,dev,0,1,317
"('Which stories does Lawrence reference and that actress research?',)",,,1,dev,1,0,334
"('Which does Lawrence reference stories and that actress research?',)",,,0,dev,0,1,335
"('Whose lakes was Eva walking through and these dancers exploring?',)",,,1,dev,1,0,442
"('Whose was Eva walking through lakes and these dancers exploring?',)",,,0,dev,0,1,443
"('Which women has Adam investigated and Elaine scared?',)",,,1,dev,1,0,468
"('Which has Adam investigated women and Elaine scared?',)",,,0,dev,0,1,469
"('What women was Regina discussing and some spinach distracting?',)",,,1,dev,1,0,482
"('What was Regina discussing women and some spinach distracting?',)",,,0,dev,0,1,483
"('Which children has the teenager disliked and Sally bothered?',)",,,1,dev,1,0,498
"('Which has the teenager disliked children and Sally bothered?',)",,,0,dev,0,1,499
"('Whose documentaries were a lot of teachers examining and Travis talking about?',)",,,1,dev,1,0,528
"('Whose were a lot of teachers examining documentaries and Travis talking about?',)",,,0,dev,0,1,529
"('What adults does Mitchell escape from and Julia appreciate?',)",,,1,dev,1,0,556
"('What does Mitchell escape from adults and Julia appreciate?',)",,,0,dev,0,1,557
"('Which essays did those men disagree with and Deanna conceal?',)",,,1,dev,1,0,592
"('Which did those men disagree with essays and Deanna conceal?',)",,,0,dev,0,1,593
"('Which trucks has Leslie taken and Kirsten revealed?',)",,,1,dev,1,0,594
"('Which has Leslie taken trucks and Kirsten revealed?',)",,,0,dev,0,1,595
"('What drivers will Ella conceal and that library remember?',)",,,1,dev,1,0,596
"('What will Ella conceal drivers and that library remember?',)",,,0,dev,0,1,597
"('Which commentaries had Pamela examined and Frank complained about?',)",,,1,dev,1,0,646
"('Which had Pamela examined commentaries and Frank complained about?',)",,,0,dev,0,1,647
"('What teachers will that icicle disturb and Bethany notice?',)",,,1,dev,1,0,694
"('What will that icicle disturb teachers and Bethany notice?',)",,,0,dev,0,1,695
