inputs,context,topic,org_label,set-0,string_label,label,id
"('Whose museums had Dana alarmed?',)",,,1,train,1,0,0
"('Whose had Dana alarmed museums?',)",,,0,train,0,1,1
"('Whose hat should Tonya wear?',)",,,1,train,1,0,2
"('Whose should Tonya wear hat?',)",,,0,train,0,1,3
"('What bicycle was Rebecca noticing?',)",,,1,train,1,0,6
"('What was Rebecca noticing bicycle?',)",,,0,train,0,1,7
"('Which senator should Jesus visit?',)",,,1,train,1,0,8
"('Which should Jesus visit senator?',)",,,0,train,0,1,9
"('What fish is a person healing?',)",,,1,train,1,0,10
"('What is a person healing fish?',)",,,0,train,0,1,11
"('What waiter has James hurt?',)",,,1,train,1,0,14
"('What has James hurt waiter?',)",,,0,train,0,1,15
"('Which adult was Larry distracting?',)",,,1,train,1,0,16
"('Which was Larry distracting adult?',)",,,0,train,0,1,17
"('What waitresses has Monica approached?',)",,,1,train,1,0,18
"('What has Monica approached waitresses?',)",,,0,train,0,1,19
"('What senator is a truck hurting?',)",,,1,train,1,0,22
"('What is a truck hurting senator?',)",,,0,train,0,1,23
"('Which newspaper articles can the student dislike?',)",,,1,train,1,0,26
"('Which can the student dislike newspaper articles?',)",,,0,train,0,1,27
"('Which oasis has Diane dropped by?',)",,,1,train,1,0,28
"('Which has Diane dropped by oasis?',)",,,0,train,0,1,29
"('What unicycles would Galileo take?',)",,,1,train,1,0,36
"('What would Galileo take unicycles?',)",,,0,train,0,1,37
"('What paralysis will Amy discover?',)",,,1,train,1,0,38
"('What will Amy discover paralysis?',)",,,0,train,0,1,39
"('Which woman could Jesus heal?',)",,,1,train,1,0,40
"('Which could Jesus heal woman?',)",,,0,train,0,1,41
"('What patient can this guest reference?',)",,,1,train,1,0,42
"('What can this guest reference patient?',)",,,0,train,0,1,43
"('Which waiter could Amelia talk about?',)",,,1,train,1,0,44
"('Which could Amelia talk about waiter?',)",,,0,train,0,1,45
"('Which library is Kristen thinking about?',)",,,1,train,1,0,46
"('Which is Kristen thinking about library?',)",,,0,train,0,1,47
"('What actress could Adam argue about?',)",,,1,train,1,0,50
"('What could Adam argue about actress?',)",,,0,train,0,1,51
"('Which pedestrians had a lot of teachers forgotten?',)",,,1,train,1,0,52
"('Which had a lot of teachers forgotten pedestrians?',)",,,0,train,0,1,53
"('Which horses does Marcus hide?',)",,,1,train,1,0,54
"('Which does Marcus hide horses?',)",,,0,train,0,1,55
"('Which bikes is John fixing?',)",,,1,train,1,0,60
"('Which is John fixing bikes?',)",,,0,train,0,1,61
"('Which movies would Laura hate?',)",,,1,train,1,0,62
"('What dancers should Kristen respect?',)",,,1,dev,1,0,12
"('What should Kristen respect dancers?',)",,,0,dev,0,1,13
"('What doctors will Chad kiss?',)",,,1,dev,1,0,32
"('What will Chad kiss doctors?',)",,,0,dev,0,1,33
"('Whose thesis was Donna appreciating?',)",,,1,dev,1,0,34
"('Whose was Donna appreciating thesis?',)",,,0,dev,0,1,35
"('Which book could John bring?',)",,,1,dev,1,0,48
