inputs,context,topic,org_label,set-0,string_label,label,id
"('Travis is touring.',)",,,1,train,1,0,0
"('Travis is revealing.',)",,,0,train,0,1,1
"('Noah approached.',)",,,1,train,1,0,2
"('Noah works with.',)",,,0,train,0,1,3
"(""The Lutherans couldn't skate around."",)",,,1,train,1,0,4
"(""The Lutherans couldn't disagree with."",)",,,0,train,0,1,5
"(""A lot of teenagers haven't left."",)",,,1,train,1,0,6
"(""A lot of teenagers haven't arrived at."",)",,,0,train,0,1,7
"('Renee could descend.',)",,,1,train,1,0,10
"('Renee could flee from.',)",,,0,train,0,1,11
"(""This student's supervisors descended."",)",,,1,train,1,0,12
"(""This student's supervisors admired."",)",,,0,train,0,1,13
"(""Karen's dentists buy."",)",,,1,train,1,0,14
"(""Karen's dentists found."",)",,,0,train,0,1,15
"('A lot of mothers of Steve observe.',)",,,1,train,1,0,16
"('A lot of mothers of Steve talk to.',)",,,0,train,0,1,17
"(""Tara's doctors have watched."",)",,,1,train,1,0,20
"(""Tara's doctors have examined."",)",,,0,train,0,1,21
"(""William wasn't helping."",)",,,1,train,1,0,22
"(""William wasn't boasting about."",)",,,0,train,0,1,23
"('Christopher climbed up.',)",,,1,train,1,0,24
"('Christopher walks through.',)",,,0,train,0,1,25
"('That guy remembers.',)",,,1,train,1,0,26
"('That guy looked like.',)",,,0,train,0,1,27
"('Nancy sold.',)",,,1,train,1,0,28
"('Nancy argued about.',)",,,0,train,0,1,29
"('Jodi has run around.',)",,,1,train,1,0,30
"('Jodi has biked to.',)",,,0,train,0,1,31
"(""Anne hasn't climbed down."",)",,,1,train,1,0,32
"(""Anne hasn't found."",)",,,0,train,0,1,33
"('Kathleen helped.',)",,,1,train,1,0,34
"('Kathleen resembles.',)",,,0,train,0,1,35
"('The brothers of April ascend.',)",,,1,train,1,0,38
"('The brothers of April look like.',)",,,0,train,0,1,39
"(""Holly's plumbers sold."",)",,,1,train,1,0,42
"(""Holly's plumbers admired."",)",,,0,train,0,1,43
"('Some boy watches.',)",,,1,train,1,0,44
"('Some boy fired.',)",,,0,train,0,1,45
"('The children see.',)",,,1,train,1,0,48
"('The children admire.',)",,,0,train,0,1,49
"('Liam should pass.',)",,,1,train,1,0,50
"('Liam should go to.',)",,,0,train,0,1,51
"(""Kendra isn't attacking."",)",,,1,train,1,0,52
