inputs,context,topic,org_label,set-0,string_label,label,id
"('This customer who had visited most children has worn some shoes.',)",,,1,train,1,0,0
"('This customer who had visited most children have worn some shoes.',)",,,0,train,0,1,1
"(""This boy that didn't question all guests has forgotten about what wasn't vaporizing."",)",,,1,train,1,0,2
"(""This boy that didn't question all guests have forgotten about what wasn't vaporizing."",)",,,0,train,0,1,3
"(""Boys that aren't disturbing Natalie suffer."",)",,,1,train,1,0,4
"(""Boys that aren't disturbing Natalie suffers."",)",,,0,train,0,1,5
"('Some customers who irritates Amelia do persuade Galileo to come here.',)",,,1,train,1,0,6
"('Some customers who irritates Amelia does persuade Galileo to come here.',)",,,0,train,0,1,7
"('Many children that had questioned this government do cooperate.',)",,,1,train,1,0,8
"('Many children that had questioned this government does cooperate.',)",,,0,train,0,1,9
"(""All pedestrians that wouldn't shock William read."",)",,,1,train,1,0,12
"(""All pedestrians that wouldn't shock William reads."",)",,,0,train,0,1,13
"('The girl who had visited most guests is curing a woman.',)",,,1,train,1,0,14
"('The girl who had visited most guests were curing a woman.',)",,,0,train,0,1,15
"(""Those guys that hid Kenneth explain Rhonda won't skate around a lot of restaurants."",)",,,1,train,1,0,16
"(""Those guys that hid Kenneth explains Rhonda won't skate around a lot of restaurants."",)",,,0,train,0,1,17
"('Some mushroom that will bother the Lutherans has upset Regina.',)",,,1,train,1,0,20
"('Some mushroom that will bother the Lutherans have upset Regina.',)",,,0,train,0,1,21
"(""The girl who doesn't annoy these adults works with Kristin."",)",,,1,train,1,0,22
"(""The girl who doesn't annoy these adults work with Kristin."",)",,,0,train,0,1,23
"('Some legislature that alarmed the pedestrians has needed Sandra to blink.',)",,,1,train,1,0,24
"('Some legislature that alarmed the pedestrians have needed Sandra to blink.',)",,,0,train,0,1,25
"(""The waitress who was upsetting these associations doesn't admire this cat."",)",,,1,train,1,0,28
"(""The waitress who was upsetting these associations don't admire this cat."",)",,,0,train,0,1,29
"('Actors who embarrasses Brad long to surrender.',)",,,1,train,1,0,30
"('Actors who embarrasses Brad longs to surrender.',)",,,0,train,0,1,31
"('That guy that respects those doctors praises some newspaper article.',)",,,1,train,1,0,32
"('That guy that respects those doctors praise some newspaper article.',)",,,0,train,0,1,33
"('Some lady that sells some hospitals encourages Vanessa to move.',)",,,1,train,1,0,36
"('Some lady that sells some hospitals encourage Vanessa to move.',)",,,0,train,0,1,37
"('These guys who annoys a committee were interacting.',)",,,1,train,1,0,38
"('These guys who annoys a committee was interacting.',)",,,0,train,0,1,39
"(""Many universities that weren't praising Carla don't talk about a driver."",)",,,1,train,1,0,40
"(""Many universities that weren't praising Carla doesn't talk about a driver."",)",,,0,train,0,1,41
"(""Some adults that are fleeing from Curtis weren't waving."",)",,,1,train,1,0,42
"(""Some adults that are fleeing from Curtis isn't waving."",)",,,0,train,0,1,43
"('This cashier that should disturb those girls has spun around.',)",,,1,train,1,0,44
"('This cashier that should disturb those girls have spun around.',)",,,0,train,0,1,45
"(""Every association that didn't praise a lot of men badgers Beth to hate Kristin."",)",,,1,train,1,0,46
"(""Every association that didn't praise a lot of men badger Beth to hate Kristin."",)",,,0,train,0,1,47
"('Some patients who dislike Kendra negotiate.',)",,,1,train,1,0,48
"('Some patients who dislike Kendra negotiates.',)",,,0,train,0,1,49
"(""A senator who saw the Lutherans doesn't observe Dennis."",)",,,1,train,1,0,50
"(""The drawing that can't look like most sketches isn't looking like Elaine."",)",,,1,dev,1,0,26
"(""The drawing that can't look like most sketches aren't looking like Elaine."",)",,,0,dev,0,1,27
"(""Every committee that didn't appreciate those men wasn't surrendering."",)",,,1,dev,1,0,52
"(""Every committee that didn't appreciate those men weren't surrendering."",)",,,0,dev,0,1,53
"('Some dancer that liked all girls cries.',)",,,1,dev,1,0,54
"('Some dancer that liked all girls cry.',)",,,0,dev,0,1,55
"('This actress who fired adults is touring the bank.',)",,,1,dev,1,0,58
"('This actress who fired adults were touring the bank.',)",,,0,dev,0,1,59
"(""A lot of customers that upset Melissa haven't admired some cafes."",)",,,1,dev,1,0,60
"(""A lot of customers that upset Melissa hasn't admired some cafes."",)",,,0,dev,0,1,61
"(""Many dancers that had disliked Leslie weren't exploring some museums."",)",,,1,dev,1,0,90
"(""Many dancers that had disliked Leslie isn't exploring some museums."",)",,,0,dev,0,1,91
"(""A lot of waiters who didn't dislike Katherine press Pamela to nod."",)",,,1,dev,1,0,126
"(""A lot of waiters who didn't dislike Katherine presses Pamela to nod."",)",,,0,dev,0,1,127
"('That customer that helped the waiters investigates a library.',)",,,1,dev,1,0,140
"('That customer that helped the waiters investigate a library.',)",,,0,dev,0,1,141
"('Many universities that confused that guy were intending to change.',)",,,1,dev,1,0,188
"('Many universities that confused that guy was intending to change.',)",,,0,dev,0,1,189
"(""Most students who weren't shocking that school do retaliate."",)",,,1,dev,1,0,208
"(""Most students who weren't shocking that school does retaliate."",)",,,0,dev,0,1,209
"(""Most guests who weren't alarming the legislature weren't negotiating."",)",,,1,dev,1,0,214
"(""Most guests who weren't alarming the legislature isn't negotiating."",)",,,0,dev,0,1,215
"(""Many children that visit Alan do reveal what hasn't irritated every student."",)",,,1,dev,1,0,218
"(""Many children that visit Alan does reveal what hasn't irritated every student."",)",,,0,dev,0,1,219
"(""This waitress that wouldn't disturb the drivers approves."",)",,,1,dev,1,0,220
"(""This waitress that wouldn't disturb the drivers approve."",)",,,0,dev,0,1,221
"(""This adult who would alarm these dancers doesn't perform."",)",,,1,dev,1,0,224
"(""This adult who would alarm these dancers don't perform."",)",,,0,dev,0,1,225
"(""Every wheelbarrow that isn't astounding those governments has moved."",)",,,1,dev,1,0,254
"(""Every wheelbarrow that isn't astounding those governments have moved."",)",,,0,dev,0,1,255
"(""Some pedestrians who are hurting Benjamin haven't complained."",)",,,1,dev,1,0,272
"(""Some pedestrians who are hurting Benjamin hasn't complained."",)",,,0,dev,0,1,273
"('This cashier who admires the Borgias spins around.',)",,,1,dev,1,0,286
"('This cashier who admires the Borgias spin around.',)",,,0,dev,0,1,287
"('That waitress who respects those schools is joking around.',)",,,1,dev,1,0,292
"('That waitress who respects those schools are joking around.',)",,,0,dev,0,1,293
"(""Those lakes that can't stun every museum aren't hurting the Clintons."",)",,,1,dev,1,0,296
"(""Those lakes that can't stun every museum wasn't hurting the Clintons."",)",,,0,dev,0,1,297
"('Some senator who is bothering those waiters is forcing Carolyn to aggravate Peter.',)",,,1,dev,1,0,298
"('Some senator who is bothering those waiters were forcing Carolyn to aggravate Peter.',)",,,0,dev,0,1,299
"('Most waitresses who concealed Laura spur Martin to aggravate Kevin.',)",,,1,dev,1,0,318
"('Most waitresses who concealed Laura spurs Martin to aggravate Kevin.',)",,,0,dev,0,1,319
"(""Patients who couldn't skate around every bank have succeeded."",)",,,1,dev,1,0,338
"(""Patients who couldn't skate around every bank has succeeded."",)",,,0,dev,0,1,339
"(""Every lady who isn't hugging the patients isn't examining many essays."",)",,,1,dev,1,0,370
"(""Every lady who isn't hugging the patients weren't examining many essays."",)",,,0,dev,0,1,371
"('Those pedestrians that bother Becca have complained.',)",,,1,dev,1,0,376
"('Those pedestrians that bother Becca has complained.',)",,,0,dev,0,1,377
"('This university that embarrassed museums forgets who left Andrew.',)",,,1,dev,1,0,382
"('This university that embarrassed museums forget who left Andrew.',)",,,0,dev,0,1,383
"('Customers that were fleeing from Emily were arguing about this student.',)",,,1,dev,1,0,396
"('Customers that were fleeing from Emily was arguing about this student.',)",,,0,dev,0,1,397
"(""A government that is impressing the universities investigates what hadn't warped."",)",,,1,dev,1,0,416
"(""A government that is impressing the universities investigate what hadn't warped."",)",,,0,dev,0,1,417
"('The teenager who forgets the actors sees.',)",,,1,dev,1,0,454
"('The teenager who forgets the actors see.',)",,,0,dev,0,1,455
"(""Many teachers who shouldn't respect Jane murmur."",)",,,1,dev,1,0,462
"(""Many teachers who shouldn't respect Jane murmurs."",)",,,0,dev,0,1,463
"(""Every customer who doesn't discover those convertibles is appearing."",)",,,1,dev,1,0,466
"(""Every customer who doesn't discover those convertibles were appearing."",)",,,0,dev,0,1,467
"(""Customers that hadn't disliked Holly haven't blinked."",)",,,1,dev,1,0,482
