inputs,context,topic,org_label,set-0,string_label,label,id
"('The associations that had worried Cynthia have not ever planned to shock every actress.',)",,,1,train,1,0,0
"('The associations that had not worried Cynthia have ever planned to shock every actress.',)",,,0,train,0,1,1
"('Every son of Jerry who has insulted Jerry can not ever die.',)",,,1,train,1,0,2
"('Every son of Jerry who has not insulted Jerry can ever die.',)",,,0,train,0,1,3
"(""Most pedestrians' tutors that have hired Alice can not ever kiss."",)",,,1,train,1,0,4
"(""Most pedestrians' tutors that have not hired Alice can ever kiss."",)",,,0,train,0,1,5
"('Every skirt that has disgusted Beverly had not ever unfolded.',)",,,1,train,1,0,10
"('Every skirt that has not disgusted Beverly had ever unfolded.',)",,,0,train,0,1,11
"('Every plane that was aggravating this waiter could not ever accelerate.',)",,,1,train,1,0,12
"('Every plane that was not aggravating this waiter could ever accelerate.',)",,,0,train,0,1,13
"('Those turtles that are boring April could not ever break those couches.',)",,,1,train,1,0,14
"('Those turtles that are not boring April could ever break those couches.',)",,,0,train,0,1,15
"('Every coat that did scare Nina has not ever wrinkled.',)",,,1,train,1,0,16
"('Every coat that did not scare Nina has ever wrinkled.',)",,,0,train,0,1,17
"('A lot of men who should hate Sharon can not ever struggle.',)",,,1,train,1,0,18
"('A lot of men who should not hate Sharon can ever struggle.',)",,,0,train,0,1,19
"(""Tonya's sons who were observing Stephanie can not ever talk about Carla."",)",,,1,train,1,0,22
"(""Tonya's sons who were not observing Stephanie can ever talk about Carla."",)",,,0,train,0,1,23
"(""Jeffrey's son that has climbed down the mountain has not ever argued."",)",,,1,train,1,0,26
"(""Jeffrey's son that has not climbed down the mountain has ever argued."",)",,,0,train,0,1,27
"('These pedestrians that are dropping by all glaciers had not ever coughed.',)",,,1,train,1,0,30
"('These pedestrians that are not dropping by all glaciers had ever coughed.',)",,,0,train,0,1,31
"(""Tammy's bosses who have alarmed these people had not ever spun around."",)",,,1,train,1,0,32
"(""Tammy's bosses who have not alarmed these people had ever spun around."",)",,,0,train,0,1,33
"('That daughter of Sarah that was annoying Dana has not ever needed to walk through Harvard University.',)",,,1,train,1,0,34
"('That daughter of Sarah that was not annoying Dana has ever needed to walk through Harvard University.',)",,,0,train,0,1,35
"(""Beth's cousins who have cared for Scott do not ever turn out to reference Katherine."",)",,,1,train,1,0,38
"(""Beth's cousins who have not cared for Scott do ever turn out to reference Katherine."",)",,,0,train,0,1,39
"(""Holly's dentists that are bringing some shoes could not ever find out who discovers what is crumpling."",)",,,1,train,1,0,42
"(""Holly's dentists that are not bringing some shoes could ever find out who discovers what is crumpling."",)",,,0,train,0,1,43
"(""Bethany's handymen who have resembled every photograph should not ever prompt Rachelle to break many skateboards."",)",,,1,train,1,0,44
"(""Bethany's handymen who have not resembled every photograph should ever prompt Rachelle to break many skateboards."",)",,,0,train,0,1,45
"('Most people that were driving to most high schools will not ever think about who messed up some mall.',)",,,1,train,1,0,52
"('Most people that were not driving to most high schools will ever think about who messed up some mall.',)",,,0,train,0,1,53
"(""Kirsten's bosses who can shock Amanda did not ever investigate who isn't telephoning."",)",,,1,train,1,0,54
"(""Kirsten's bosses who can not shock Amanda did ever investigate who isn't telephoning."",)",,,0,train,0,1,55
"(""Dan's best friend that had disagreed with Sally has not ever gotten fired."",)",,,1,train,1,0,56
"(""Dan's best friend that had not disagreed with Sally has ever gotten fired."",)",,,0,train,0,1,57
"('Some grandmothers of Danielle who did love Chad do not ever communicate.',)",,,1,train,1,0,58
"('Some grandmothers of Danielle who did not love Chad do ever communicate.',)",,,0,train,0,1,59
"(""Anna's mentors that have escaped from Renee should not ever bother to sing."",)",,,1,train,1,0,62
"(""Anna's mentors that have not escaped from Renee should ever bother to sing."",)",,,0,train,0,1,63
"('Some cucumber that is disgusting Tanya could not ever char.',)",,,1,train,1,0,66
"('The doctor that has referenced Diane might not ever move.',)",,,1,dev,1,0,6
"('The doctor that has not referenced Diane might ever move.',)",,,0,dev,0,1,7
