inputs,context,topic,org_label,set-0,string_label,label,id
"('Every association figured out that most drivers that forfeit investigated Irene.',)",,,1,train,1,0,0
"('Every association figured out who most drivers that forfeit investigated Irene.',)",,,0,train,0,1,1
"(""Jodi was learning that a library that hadn't communicated was working with Randolf."",)",,,1,train,1,0,4
"(""Jodi was learning who a library that hadn't communicated was working with Randolf."",)",,,0,train,0,1,5
"(""Tamara had figured out that most governments that had fired these guests won't have a window."",)",,,1,train,1,0,10
"(""Tamara had figured out what most governments that had fired these guests won't have a window."",)",,,0,train,0,1,11
"(""Adam isn't forgetting that many actors that did buy a snake should pass the high school."",)",,,1,train,1,0,12
"(""Adam isn't forgetting what many actors that did buy a snake should pass the high school."",)",,,0,train,0,1,13
"('Melinda investigated that this girl that looked like those drawings might attack Cindy.',)",,,1,train,1,0,14
"('Melinda investigated who this girl that looked like those drawings might attack Cindy.',)",,,0,train,0,1,15
"(""Mark concealed that a lot of drawings that weren't irritating Beverly stunned Derek."",)",,,1,train,1,0,20
"(""Mark concealed who a lot of drawings that weren't irritating Beverly stunned Derek."",)",,,0,train,0,1,21
"(""Martin is revealing that the pictures that hadn't stunned Nina shock Curtis."",)",,,1,train,1,0,22
"(""Martin is revealing who the pictures that hadn't stunned Nina shock Curtis."",)",,,0,train,0,1,23
"('Eva discovered that all pedestrians that have performed upset Candice.',)",,,1,train,1,0,28
"('Eva discovered who all pedestrians that have performed upset Candice.',)",,,0,train,0,1,29
"('Wayne remembered that every child that talks about Tina escapes from Alan.',)",,,1,train,1,0,30
"('Wayne remembered who every child that talks about Tina escapes from Alan.',)",,,0,train,0,1,31
"(""Stephen reveals that all children that haven't spun around might astound Jesus."",)",,,1,train,1,0,34
"(""Stephen reveals who all children that haven't spun around might astound Jesus."",)",,,0,train,0,1,35
"('All doctors were forgetting that some guest that questions Monet explores lakes.',)",,,1,train,1,0,36
"('All doctors were forgetting what some guest that questions Monet explores lakes.',)",,,0,train,0,1,37
"(""Anne wouldn't forget that this doctor that had thought about the cilantro disagrees with Beth."",)",,,1,train,1,0,40
"(""Anne wouldn't forget who this doctor that had thought about the cilantro disagrees with Beth."",)",,,0,train,0,1,41
"(""Some teenager hasn't learned that some socks that are falling were hurting Becca."",)",,,1,train,1,0,42
"(""Some teenager hasn't learned who some socks that are falling were hurting Becca."",)",,,0,train,0,1,43
"('Ann does remember that those skirts that annoyed Kayla stun Dan.',)",,,1,train,1,0,44
"('Ann does remember who those skirts that annoyed Kayla stun Dan.',)",,,0,train,0,1,45
"('William discovered that many actresses that annoy Donald skated around the rivers.',)",,,1,train,1,0,46
"('William discovered what many actresses that annoy Donald skated around the rivers.',)",,,0,train,0,1,47
"('Many banks had revealed that every woman that sits down fired Benjamin.',)",,,1,train,1,0,52
"('Many banks had revealed who every woman that sits down fired Benjamin.',)",,,0,train,0,1,53
"('David had learned that all actresses that escaped conceal George.',)",,,1,train,1,0,54
"('David had learned who all actresses that escaped conceal George.',)",,,0,train,0,1,55
"('Many hospitals figure out that some doctor that describes the guy flees from Kirsten.',)",,,1,train,1,0,56
"('Many hospitals figure out who some doctor that describes the guy flees from Kirsten.',)",,,0,train,0,1,57
"(""Many men reveal that some driver that painted hadn't arrived at some river."",)",,,1,train,1,0,58
"(""Many men reveal what some driver that painted hadn't arrived at some river."",)",,,0,train,0,1,59
"(""The legislatures hadn't realized that most actors that flirted didn't arrive at those malls."",)",,,1,train,1,0,60
"(""The legislatures hadn't realized what most actors that flirted didn't arrive at those malls."",)",,,0,train,0,1,61
"(""Robert reveals that every guy that hasn't sighed was annoying Alice."",)",,,1,train,1,0,62
"(""Robert reveals who every guy that hasn't sighed was annoying Alice."",)",,,0,train,0,1,63
"('Those actors realize that some waiter that had healed Anne works with Timothy.',)",,,1,train,1,0,68
"('Nicole reveals that this fish that has fallen asleep finds these adults.',)",,,1,dev,1,0,32
"('Nicole reveals who this fish that has fallen asleep finds these adults.',)",,,0,dev,0,1,33
"(""A child didn't realize that a lot of waiters that should confer were referencing Rodney."",)",,,1,dev,1,0,38
"(""A child didn't realize who a lot of waiters that should confer were referencing Rodney."",)",,,0,dev,0,1,39
"(""Linda wasn't forgetting that a woman that was getting fired likes every sketch."",)",,,1,dev,1,0,50
"(""Linda wasn't forgetting what a woman that was getting fired likes every sketch."",)",,,0,dev,0,1,51
"(""All guys hadn't learned that the pedestrian that scratched did return to Winston Churchill."",)",,,1,dev,1,0,64
"(""All guys hadn't learned who the pedestrian that scratched did return to Winston Churchill."",)",,,0,dev,0,1,65
"(""Peter concealed that some adult that hasn't worried Jane boasts about Walter."",)",,,1,dev,1,0,70
"(""Peter concealed who some adult that hasn't worried Jane boasts about Walter."",)",,,0,dev,0,1,71
"(""These legislatures know that the person that remembers Thomas hasn't broken some window."",)",,,1,dev,1,0,74
"(""These legislatures know what the person that remembers Thomas hasn't broken some window."",)",,,0,dev,0,1,75
"(""Judy isn't discovering that some guy that does change watched Amy."",)",,,1,dev,1,0,98
"(""Judy isn't discovering who some guy that does change watched Amy."",)",,,0,dev,0,1,99
"('Brad learned that the legislature that responds criticizes Lawrence.',)",,,1,dev,1,0,104
"('Brad learned who the legislature that responds criticizes Lawrence.',)",,,0,dev,0,1,105
"('The Impressionists learn that some woman that researches the Borgias had approached some people.',)",,,1,dev,1,0,146
"('The Impressionists learn who some woman that researches the Borgias had approached some people.',)",,,0,dev,0,1,147
"(""That girl hasn't realized that some committee that hadn't profited listens to Nicole."",)",,,1,dev,1,0,210
"(""That girl hasn't realized who some committee that hadn't profited listens to Nicole."",)",,,0,dev,0,1,211
"(""Erin discovered that that customer that won't chuckle had praised Kimberley."",)",,,1,dev,1,0,222
"(""Erin discovered who that customer that won't chuckle had praised Kimberley."",)",,,0,dev,0,1,223
"(""Those pedestrians realize that some alumni that weren't negotiating can't admire these guests."",)",,,1,dev,1,0,232
"(""Those pedestrians realize who some alumni that weren't negotiating can't admire these guests."",)",,,0,dev,0,1,233
"(""These pedestrians remember that all teachers that haven't dropped by malls should criticize Alicia."",)",,,1,dev,1,0,236
"(""These pedestrians remember who all teachers that haven't dropped by malls should criticize Alicia."",)",,,0,dev,0,1,237
"(""Becca wasn't discovering that the dress that disturbed some hospital had impressed Irene."",)",,,1,dev,1,0,288
"(""Becca wasn't discovering who the dress that disturbed some hospital had impressed Irene."",)",,,0,dev,0,1,289
"(""Donna hasn't investigated that these cars that existed bother some guests."",)",,,1,dev,1,0,296
"(""Donna hasn't investigated who these cars that existed bother some guests."",)",,,0,dev,0,1,297
