inputs,context,topic,org_label,set-0,string_label,label,id
"(""A niece of most senators hasn't descended most slopes."",)",,,1,train,1,0,0
"(""A niece of most senators haven't descended most slopes."",)",,,0,train,0,1,1
"(""The sketch of those trucks hasn't hurt Alan."",)",,,1,train,1,0,2
"(""The sketch of those trucks haven't hurt Alan."",)",,,0,train,0,1,3
"(""A sketch of lights doesn't appear."",)",,,1,train,1,0,8
"(""A sketch of lights don't appear."",)",,,0,train,0,1,9
"('The movies about Galileo were astounding Melanie.',)",,,1,train,1,0,10
"('The movies about Galileo was astounding Melanie.',)",,,0,train,0,1,11
"('A cousin of a lot of dancers anticipates Naomi to aggravate Angela.',)",,,1,train,1,0,12
"('A cousin of a lot of dancers anticipate Naomi to aggravate Angela.',)",,,0,train,0,1,13
"('The pamphlets about Galileo are winning.',)",,,1,train,1,0,16
"('The pamphlets about Galileo is winning.',)",,,0,train,0,1,17
"('The daughter of those senators works with Patrick.',)",,,1,train,1,0,18
"('The daughter of those senators work with Patrick.',)",,,0,train,0,1,19
"(""A story about the Balkans doesn't irritate a person."",)",,,1,train,1,0,20
"(""A story about the Balkans don't irritate a person."",)",,,0,train,0,1,21
"('The sisters of Timothy judge Randolf to weep.',)",,,1,train,1,0,22
"('The sisters of Timothy judges Randolf to weep.',)",,,0,train,0,1,23
"('A nephew of senators is wanting to murmur.',)",,,1,train,1,0,26
"('A nephew of senators were wanting to murmur.',)",,,0,train,0,1,27
"('The prints of that high school are impressing Helen.',)",,,1,train,1,0,28
"('The prints of that high school was impressing Helen.',)",,,0,train,0,1,29
"('A report about the Impressionists has won.',)",,,1,train,1,0,30
"('A report about the Impressionists have won.',)",,,0,train,0,1,31
"('The mothers of Mary seem to shrink.',)",,,1,train,1,0,34
"('The mothers of Mary seems to shrink.',)",,,0,train,0,1,35
"('The books about Winston Churchill do look like paintings.',)",,,1,train,1,0,36
"('The books about Winston Churchill does look like paintings.',)",,,0,train,0,1,37
"('The friends of every person do fix some cups.',)",,,1,train,1,0,44
"('The friends of every person does fix some cups.',)",,,0,train,0,1,45
"('The commentaries about music do disgust Kayla.',)",,,1,train,1,0,48
"('The commentaries about music does disgust Kayla.',)",,,0,train,0,1,49
"('The grandfathers of Diana drink.',)",,,1,train,1,0,50
"('The grandfathers of Diana drinks.',)",,,0,train,0,1,51
"(""The daughters of Wayne don't exit art galleries."",)",,,1,train,1,0,52
"(""The daughters of Wayne doesn't exit art galleries."",)",,,0,train,0,1,53
"(""A granddaughter of the Impressionists wasn't lifting a convertible."",)",,,1,train,1,0,56
"(""A granddaughter of the Impressionists aren't lifting a convertible."",)",,,0,train,0,1,57
"('The reports about art are scaring Melissa.',)",,,1,train,1,0,60
"('The reports about art was scaring Melissa.',)",,,0,train,0,1,61
"(""A brochure about the Balkans doesn't impress Erin."",)",,,1,train,1,0,62
"(""A brochure about the Balkans don't impress Erin."",)",,,0,train,0,1,63
"(""The report about the Impressionists hasn't sounded like Joel."",)",,,1,train,1,0,66
"(""A movie about the Impressionists hasn't scared Harvard University."",)",,,1,dev,1,0,14
"(""A movie about the Impressionists haven't scared Harvard University."",)",,,0,dev,0,1,15
"('The sketches of some dancer do bore these girls.',)",,,1,dev,1,0,38
"('The sketches of some dancer does bore these girls.',)",,,0,dev,0,1,39
"('The daughter of most actresses is observing Christina.',)",,,1,dev,1,0,40
"('The daughter of most actresses were observing Christina.',)",,,0,dev,0,1,41
"(""A story about the Lutherans hasn't won."",)",,,1,dev,1,0,42
"(""A story about the Lutherans haven't won."",)",,,0,dev,0,1,43
"('A father of guys was passing most college campuses.',)",,,1,dev,1,0,46
"('A father of guys are passing most college campuses.',)",,,0,dev,0,1,47
"('The pamphlets about art aggravate Sherry.',)",,,1,dev,1,0,54
"('The pamphlets about art aggravates Sherry.',)",,,0,dev,0,1,55
"('The sons of Victoria long to waste away.',)",,,1,dev,1,0,64
"('The sons of Victoria longs to waste away.',)",,,0,dev,0,1,65
"('The painting of a lot of sweaters resembles some drawings.',)",,,1,dev,1,0,76
"('The painting of a lot of sweaters resemble some drawings.',)",,,0,dev,0,1,77
"('The mothers of Cheryl do bake.',)",,,1,dev,1,0,98
"('The mothers of Cheryl does bake.',)",,,0,dev,0,1,99
"('The nieces of Rachel discover this nose.',)",,,1,dev,1,0,118
"('The nieces of Rachel discovers this nose.',)",,,0,dev,0,1,119
"('The father of many pedestrians washes.',)",,,1,dev,1,0,122
"('The father of many pedestrians wash.',)",,,0,dev,0,1,123
