inputs,context,topic,org_label,set-0,string_label,label,id
"('Benjamin would wrinkle every scarf.',)",,,1,train,1,0,8
"('Benjamin would fall every scarf.',)",,,0,train,0,1,9
"('Most students hide away sisters of Gerald.',)",,,1,train,1,0,10
"('Most students wept sisters of Gerald.',)",,,0,train,0,1,11
"(""Phillip isn't hiding away Monica."",)",,,1,train,1,0,14
"(""Phillip isn't departing Monica."",)",,,0,train,0,1,15
"('Alan twirls that dress.',)",,,1,train,1,0,16
"('Alan existed that dress.',)",,,0,train,0,1,17
"('Dawn had condensed ice.',)",,,1,train,1,0,18
"('Dawn had existed ice.',)",,,0,train,0,1,19
"(""Most guys hide away David's friends."",)",,,1,train,1,0,20
"(""Most guys divorced David's friends."",)",,,0,train,0,1,21
"('Kimberley had slowed every skateboard.',)",,,1,train,1,0,24
"('Kimberley had rusted every skateboard.',)",,,0,train,0,1,25
"('All doctors fray gloves.',)",,,1,train,1,0,26
"('All doctors waste away gloves.',)",,,0,train,0,1,27
"(""Winston Churchill hasn't rolled most trucks."",)",,,1,train,1,0,28
"(""Winston Churchill hasn't wasted away most trucks."",)",,,0,train,0,1,29
"('Kevin dropped some chair.',)",,,1,train,1,0,30
"('Kevin existed some chair.',)",,,0,train,0,1,31
"('Many customers trains Bethany.',)",,,1,train,1,0,34
"('Many customers cheered Bethany.',)",,,0,train,0,1,35
"(""Waiters wake up Beverly's dentists."",)",,,1,train,1,0,38
"(""Waiters clashed Beverly's dentists."",)",,,0,train,0,1,39
"('A lot of customers shrink the skirts.',)",,,1,train,1,0,44
"('A lot of customers fell the skirts.',)",,,0,train,0,1,45
"(""Some guests reunite Rachelle's teachers."",)",,,1,train,1,0,46
"(""Some guests whisper Rachelle's teachers."",)",,,0,train,0,1,47
"(""A teenager couldn't turn a plane."",)",,,1,train,1,0,50
"(""A teenager couldn't exist a plane."",)",,,0,train,0,1,51
"(""David isn't drying many blouses."",)",,,1,train,1,0,52
"(""David isn't falling many blouses."",)",,,0,train,0,1,53
"('Benjamin was folding a blouse.',)",,,1,train,1,0,54
"('Benjamin was existing a blouse.',)",,,0,train,0,1,55
"(""A man hadn't healed Carol."",)",,,1,train,1,0,56
"(""A man hadn't protested Carol."",)",,,0,train,0,1,57
"('Carol heals a customer.',)",,,1,train,1,0,64
"('Carol waved a customer.',)",,,0,train,0,1,65
"(""Dennis isn't evaporating a lot of glaciers."",)",,,1,train,1,0,72
"(""Dennis isn't falling a lot of glaciers."",)",,,0,train,0,1,73
"(""Douglas trained Wendy's hairdresser."",)",,,1,train,1,0,76
"(""Douglas escapes Wendy's hairdresser."",)",,,0,train,0,1,77
"('Andrea chipped some screen.',)",,,1,train,1,0,80
"('Raymond was stretching that shirt.',)",,,1,dev,1,0,6
"('Raymond was vanishing that shirt.',)",,,0,dev,0,1,7
"('Michael had wrinkled many blouses.',)",,,1,dev,1,0,12
"('Michael had existed many blouses.',)",,,0,dev,0,1,13
"('Curtis dropped some dishes.',)",,,1,dev,1,0,40
"('Curtis wasted away some dishes.',)",,,0,dev,0,1,41
"('Those ladies close some gates.',)",,,1,dev,1,0,70
"('Those ladies fell some gates.',)",,,0,dev,0,1,71
"(""Alicia stretched Jill's cousins."",)",,,1,dev,1,0,112
"(""Alicia nodded Jill's cousins."",)",,,0,dev,0,1,113
"('Gerald stretches Diane.',)",,,1,dev,1,0,118
