inputs,context,topic,org_label,set-0,string_label,label,id
"('Donald can imagine those college campuses are boring themselves.',)",,,1,train,1,0,0
"('Donald can imagine those college campuses are boring himself.',)",,,0,train,0,1,1
"('Gerald was explaining Patricia was revealing herself.',)",,,1,train,1,0,2
"('Gerald was explaining Patricia was revealing himself.',)",,,0,train,0,1,3
"('Mark imagines Erin might admire herself.',)",,,1,train,1,0,4
"('Mark imagines Erin might admire himself.',)",,,0,train,0,1,5
"(""A lot of doctors hadn't imagined Denise notices herself."",)",,,1,train,1,0,8
"(""A lot of doctors hadn't imagined Denise notices themselves."",)",,,0,train,0,1,9
"(""Valerie doesn't think Russell sounds like himself."",)",,,1,train,1,0,14
"(""Valerie doesn't think Russell sounds like herself."",)",,,0,train,0,1,15
"(""Craig hasn't thought Jessica praised herself."",)",,,1,train,1,0,16
"(""Craig hasn't thought Jessica praised himself."",)",,,0,train,0,1,17
"(""Holly would say some slope didn't irritate itself."",)",,,1,train,1,0,18
"(""Holly would say some slope didn't irritate herself."",)",,,0,train,0,1,19
"(""Sally wouldn't explain Rodney confused himself."",)",,,1,train,1,0,20
"(""Sally wouldn't explain Rodney confused herself."",)",,,0,train,0,1,21
"(""The dancer said Jeffrey doesn't find himself."",)",,,1,train,1,0,22
"(""The dancer said Jeffrey doesn't find herself."",)",,,0,train,0,1,23
"('Beverly had said Homer was concealing himself.',)",,,1,train,1,0,24
"('Beverly had said Homer was concealing herself.',)",,,0,train,0,1,25
"(""Those waitresses say Curtis hadn't alarmed himself."",)",,,1,train,1,0,28
"(""Those waitresses say Curtis hadn't alarmed themselves."",)",,,0,train,0,1,29
"('Guy does explain Judy argued about herself.',)",,,1,train,1,0,30
"('Guy does explain Judy argued about himself.',)",,,0,train,0,1,31
"('James says Kayla helped herself.',)",,,1,train,1,0,32
"('James says Kayla helped himself.',)",,,0,train,0,1,33
"(""Joel can't explain some girl can't visit herself."",)",,,1,train,1,0,34
"(""Joel can't explain some girl can't visit himself."",)",,,0,train,0,1,35
"(""Victoria thinks Harvard University isn't firing itself."",)",,,1,train,1,0,36
"(""Victoria thinks Harvard University isn't firing herself."",)",,,0,train,0,1,37
"('Alice has said Craig did upset himself.',)",,,1,train,1,0,38
"('Alice has said Craig did upset herself.',)",,,0,train,0,1,39
"('Allison has imagined Christopher had concealed himself.',)",,,1,train,1,0,40
"('Allison has imagined Christopher had concealed herself.',)",,,0,train,0,1,41
"('Jerry said the rabbit had annoyed itself.',)",,,1,train,1,0,42
"('Jerry said the rabbit had annoyed himself.',)",,,0,train,0,1,43
"(""Rodney is saying Renee hadn't fled from herself."",)",,,1,train,1,0,44
"(""Rodney is saying Renee hadn't fled from himself."",)",,,0,train,0,1,45
"(""Many patients aren't saying Roger kisses himself."",)",,,1,train,1,0,46
"(""Many patients aren't saying Roger kisses themselves."",)",,,0,train,0,1,47
"('Rachel explains Matt thinks about himself.',)",,,1,train,1,0,48
"('Rachel explains Matt thinks about herself.',)",,,0,train,0,1,49
"(""The children weren't imagining Anna knows herself."",)",,,1,train,1,0,50
"('Gary imagined most reports upset themselves.',)",,,1,dev,1,0,6
"('Gary imagined most reports upset himself.',)",,,0,dev,0,1,7
"('The Borgias explain Scott had talked to himself.',)",,,1,dev,1,0,12
"('The Borgias explain Scott had talked to themselves.',)",,,0,dev,0,1,13
"(""The Clintons say Christine wouldn't care for herself."",)",,,1,dev,1,0,132
"(""The Clintons say Christine wouldn't care for themselves."",)",,,0,dev,0,1,133
"(""Stephanie hasn't said James reveals himself."",)",,,1,dev,1,0,220
"(""Stephanie hasn't said James reveals herself."",)",,,0,dev,0,1,221
"(""Leslie explained Edward shouldn't praise himself."",)",,,1,dev,1,0,222
"(""Leslie explained Edward shouldn't praise herself."",)",,,0,dev,0,1,223
"(""Bill should explain the customers couldn't care for themselves."",)",,,1,dev,1,0,232
"(""Bill should explain the customers couldn't care for himself."",)",,,0,dev,0,1,233
"(""Some cashiers say Randolf won't help himself."",)",,,1,dev,1,0,242
"(""Some cashiers say Randolf won't help themselves."",)",,,0,dev,0,1,243
"(""Wendy won't say Douglas finds himself."",)",,,1,dev,1,0,248
"(""Wendy won't say Douglas finds herself."",)",,,0,dev,0,1,249
"(""Joel isn't imagining Regina should think about herself."",)",,,1,dev,1,0,258
"(""Joel isn't imagining Regina should think about himself."",)",,,0,dev,0,1,259
"('Guys think every mushroom had irritated itself.',)",,,1,dev,1,0,270
"('Guys think every mushroom had irritated themselves.',)",,,0,dev,0,1,271
"(""Laurie will say bananas haven't annoyed themselves."",)",,,1,dev,1,0,272
"(""Laurie will say bananas haven't annoyed herself."",)",,,0,dev,0,1,273
"('Candice had said a lot of adults have approached themselves.',)",,,1,dev,1,0,286
"('Candice had said a lot of adults have approached herself.',)",,,0,dev,0,1,287
"('All actors say Kirsten has disliked herself.',)",,,1,dev,1,0,288
"('All actors say Kirsten has disliked themselves.',)",,,0,dev,0,1,289
