inputs,context,topic,org_label,set-0,string_label,label,id
"('Some dog stunned this committee.',)",,,1,train,1,0,0
"('Some dog stunned these committee.',)",,,0,train,0,1,1
"('Tracy passed these art galleries.',)",,,1,train,1,0,2
"('Tracy passed this art galleries.',)",,,0,train,0,1,3
"('Craig had cared for that dancer.',)",,,1,train,1,0,6
"('Craig had cared for those dancer.',)",,,0,train,0,1,7
"('Most children return to those senators.',)",,,1,train,1,0,8
"('Most children return to that senators.',)",,,0,train,0,1,9
"('The Impressionists impress those hospitals.',)",,,1,train,1,0,10
"('The Impressionists impress that hospitals.',)",,,0,train,0,1,11
"('Carl cures those horses.',)",,,1,train,1,0,12
"('Carl cures that horses.',)",,,0,train,0,1,13
"('The Borgias should pass these college campuses.',)",,,1,train,1,0,14
"('The Borgias should pass this college campuses.',)",,,0,train,0,1,15
"('Natalie had passed those public parks.',)",,,1,train,1,0,16
"('Natalie had passed that public parks.',)",,,0,train,0,1,17
"(""All grocery stores didn't shock these adults."",)",,,1,train,1,0,18
"(""All grocery stores didn't shock this adults."",)",,,0,train,0,1,19
"('This person bothered these libraries.',)",,,1,train,1,0,20
"('This person bothered this libraries.',)",,,0,train,0,1,21
"(""This actress isn't taking that dress."",)",,,1,train,1,0,22
"(""This actress isn't taking those dress."",)",,,0,train,0,1,23
"('The Borgias attack those customers.',)",,,1,train,1,0,26
"('The Borgias attack that customers.',)",,,0,train,0,1,27
"('Sally thinks about that story.',)",,,1,train,1,0,30
"('Sally thinks about those story.',)",,,0,train,0,1,31
"(""Amelia doesn't return to those hospitals."",)",,,1,train,1,0,34
"(""Amelia doesn't return to that hospitals."",)",,,0,train,0,1,35
"('Christopher hated those stories.',)",,,1,train,1,0,36
"('Christopher hated that stories.',)",,,0,train,0,1,37
"(""Sabrina doesn't tour these cafes."",)",,,1,train,1,0,44
"(""Sabrina doesn't tour this cafes."",)",,,0,train,0,1,45
"('An actor would drop by this bank.',)",,,1,train,1,0,46
"('An actor would drop by these bank.',)",,,0,train,0,1,47
"(""Boys hadn't criticized that high school."",)",,,1,train,1,0,48
"(""Boys hadn't criticized those high school."",)",,,0,train,0,1,49
"('The Borgias discuss those cashiers.',)",,,1,train,1,0,50
"('The Borgias discuss that cashiers.',)",,,0,train,0,1,51
"('Carl references this essay.',)",,,1,train,1,0,54
"('Carl references these essay.',)",,,0,train,0,1,55
