inputs,context,topic,org_label,set-0,id,label
"('Chapter 1. Mr. Sherlock Holmes',)",,,0,train,0,0
"('Mr. Sherlock Holmes , who be usually very late in the morning , save upon those not infrequent occasion when he be up all night , be seat at the breakfast table .',)",,,1,train,1,1
"('I stand upon the hearth-rug and pick up the stick which our visitor have leave behind him the night before .',)",,,0,train,2,0
"(""It be a fine , thick piece of wood , bulbous-headed , of the sort which be know as a `` Penang lawyer . ''"",)",,,0,train,3,0
"('Just under the head be a broad silver band nearly an inch across .',)",,,0,train,4,0
"(""`` To James Mortimer , M.R.C.S. , from his friend of the C.C.H. , '' be engrave upon it , with the date `` 1884 . ''"",)",,,0,train,5,0
"('It be just such a stick as the old-fashioned family practitioner use to carry -- dignified , solid , and reassure .',)",,,0,train,6,0
"(""`` Well , Watson , what do you make of it ? ''"",)",,,0,train,7,0
"('Holmes be sit with his back to me , and I have give him no sign of my occupation .',)",,,1,train,8,1
"('`` How do you know what I be do ?',)",,,0,train,9,0
"(""I believe you have eye in the back of your head . ''"",)",,,0,train,10,0
"(""`` I have , at least , a well-polished , silver-plated coffee-pot in front of me , '' say he ."",)",,,0,train,11,0
"(""`` But , tell me , Watson , what do you make of our visitor 's stick ?"",)",,,0,train,12,0
"('Since we have be so unfortunate as to miss him and have no notion of his errand , this accidental souvenir become of importance .',)",,,1,train,13,1
"(""Let me hear you reconstruct the man by an examination of it . ''"",)",,,0,train,14,0
"(""`` I think , '' say I , follow as far as I could the method of my companion , `` that Dr. Mortimer be a successful , elderly medical man , well-esteemed since those who know him give him this mark of their appreciation . ''"",)",,,0,train,15,0
"(""`` Good ! '' say Holmes ."",)",,,0,train,16,0
"(""`` Excellent ! ''"",)",,,0,train,17,0
"(""`` I think also that the probability be in favour of his be a country practitioner who do a great deal of his visit on foot . ''"",)",,,0,train,18,0
"(""`` Why so ? ''"",)",,,0,train,19,0
"('`` Because this stick , though originally a very handsome one have be so knock about that I can hardly imagine a town practitioner carry it .',)",,,0,train,20,0
"(""The thick-iron ferrule be wear down , so it be evident that he have do a great amount of walk with it . ''"",)",,,0,train,21,0
"(""`` Perfectly sound ! '' say Holmes ."",)",,,0,train,22,0
"(""`` And then again , there be the ` friend of the C.C.H . '"",)",,,0,train,23,0
"(""I should guess that to be the Something Hunt , the local hunt to whose member he have possibly give some surgical assistance , and which have make him a small presentation in return . ''"",)",,,0,train,24,0
"(""`` Really , Watson , you excel yourself , '' say Holmes , push back his chair and light a cigarette ."",)",,,0,train,25,0
"('`` I be bind to say that in all the account which you have be so good as to give of my own small achievement you have habitually underrate your own ability .',)",,,0,train,26,0
"('It may be that you be not yourself luminous , but you be a conductor of light .',)",,,1,train,27,1
"('Some people without possess genius have a remarkable power of stimulate it .',)",,,1,train,28,1
"(""I confess , my dear fellow , that I be very much in your debt . ''"",)",,,0,train,29,0
"('He have never say as much before , and I must admit that his word give me keen pleasure , for I have often be pique by his indifference to my admiration and to the attempt which I have make to give publicity to his method .',)",,,1,train,30,1
"('I be proud , too , to think that I have so far master his system as to apply it in a way which earn his approval .',)",,,0,train,31,0
"('He now take the stick from my hand and examine it for a few minute with his naked eye .',)",,,0,train,32,0
"('Then with an expression of interest he lay down his cigarette , and carry the cane to the window , he look over it again with a convex lens .',)",,,0,train,33,0
"(""`` Interesting , though elementary , '' say he as he return to his favourite corner of the settee ."",)",,,0,train,34,0
"('`` There be certainly one or two indication upon the stick .',)",,,0,train,35,0
"(""It give us the basis for several deduction . ''"",)",,,0,train,36,0
"(""`` Has anything escape me ? '' I ask with some self-importance ."",)",,,0,train,37,0
"(""`` I trust that there be nothing of consequence which I have overlook ? ''"",)",,,1,train,38,1
"('`` I be afraid , my dear Watson , that most of your conclusion be erroneous .',)",,,0,train,39,0
"('When I say that you stimulate me I mean , to be frank , that in note your fallacy I be occasionally guide towards the truth .',)",,,0,train,40,0
"('Not that you be entirely wrong in this instance .',)",,,1,train,41,1
"('The man be certainly a country practitioner .',)",,,0,train,42,0
"(""And he walk a good deal . ''"",)",,,0,train,43,0
"(""`` Then I be right . ''"",)",,,0,train,44,0
"(""`` To that extent . ''"",)",,,0,train,45,0
"(""`` But that be all . ''"",)",,,0,train,46,0
"('`` No , no , my dear Watson , not all -- by no mean all .',)",,,1,train,47,1
