inputs,context,topic,org_label,set-0,string_label,label,id
"('Cynthia scans these hard books.',)",,,1,train,1,0,0
"('Cynthia scans this hard books.',)",,,0,train,0,1,1
"('Donna might hire this serious actress.',)",,,1,train,1,0,2
"('Donna might hire these serious actress.',)",,,0,train,0,1,3
"('Wendy forgot those upset doctors.',)",,,1,train,1,0,4
"('Wendy forgot that upset doctors.',)",,,0,train,0,1,5
"(""Carlos hasn't fired those uncertain students."",)",,,1,train,1,0,6
"(""Carlos hasn't fired that uncertain students."",)",,,0,train,0,1,7
"('Claire will conceal those hopeful cashiers.',)",,,1,train,1,0,8
"('Claire will conceal that hopeful cashiers.',)",,,0,train,0,1,9
"('Some actors buy these gray books.',)",,,1,train,1,0,10
"('Some actors buy this gray books.',)",,,0,train,0,1,11
"('Jerry appreciates this lost report.',)",,,1,train,1,0,12
"('Jerry appreciates these lost report.',)",,,0,train,0,1,13
"('Deanna reveals these black public parks.',)",,,1,train,1,0,14
"('Deanna reveals this black public parks.',)",,,0,train,0,1,15
"('This eggplant distracts this hopeful girl.',)",,,1,train,1,0,18
"('This eggplant distracts these hopeful girl.',)",,,0,train,0,1,19
"('That sweater had resembled that out in the open drawing.',)",,,1,train,1,0,20
"('That sweater had resembled those out in the open drawing.',)",,,0,train,0,1,21
"('Nancy astounded that young pedestrian.',)",,,1,train,1,0,22
"('Nancy astounded those young pedestrian.',)",,,0,train,0,1,23
"(""Most senators aren't exiting this popular restaurant."",)",,,1,train,1,0,26
"(""Most senators aren't exiting these popular restaurant."",)",,,0,train,0,1,27
"('Wayne looked like those bad paintings.',)",,,1,train,1,0,28
"('Wayne looked like that bad paintings.',)",,,0,train,0,1,29
"('A lot of pedestrians had complained about this unconvinced teenager.',)",,,1,train,1,0,34
"('A lot of pedestrians had complained about these unconvinced teenager.',)",,,0,train,0,1,35
"(""This eggplant hasn't resembled that out in the open print."",)",,,1,train,1,0,36
"(""This eggplant hasn't resembled those out in the open print."",)",,,0,train,0,1,37
"('Kathleen cleaned that yellow college campus.',)",,,1,train,1,0,38
