,probing_dataset,model_name,encoding,control_task_type,sample_size,seed,num_hidden_layers,score
0,ewok-physical-dynamics,Qwen__Qwen2.5-3B,full,NONE,98,0,0,0.0
1,ewok-physical-dynamics,Qwen__Qwen2.5-3B,full,NONE,98,0,0,0.0
2,ewok-physical-dynamics,Qwen__Qwen2.5-3B,full,NONE,98,1,0,0.0
3,ewok-physical-dynamics,Qwen__Qwen2.5-3B,full,NONE,98,1,0,0.0
4,ewok-physical-dynamics,Qwen__Qwen2.5-3B,full,NONE,98,4,0,0.0
5,ewok-physical-dynamics,Qwen__Qwen2.5-3B,full,NONE,98,4,0,0.0
6,ewok-physical-dynamics,Qwen__Qwen2.5-3B,full,NONE,98,3,0,0.0
7,ewok-physical-dynamics,Qwen__Qwen2.5-3B,full,NONE,98,3,0,0.0
8,ewok-physical-dynamics,Qwen__Qwen2.5-3B,full,NONE,98,2,0,0.0
9,ewok-physical-dynamics,Qwen__Qwen2.5-3B,full,NONE,98,2,0,0.0
10,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,full,NONE,98,0,0,0.0
11,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,full,NONE,98,0,0,0.0
12,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,full,NONE,98,1,0,0.0
13,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,full,NONE,98,4,0,0.0
14,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,full,NONE,98,3,0,0.0
15,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,full,NONE,98,2,0,0.0
16,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,half,NONE,98,0,0,0.0
17,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,half,NONE,98,0,0,0.0
18,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,half,NONE,98,1,0,0.0
19,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,half,NONE,98,1,0,0.0
20,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,half,NONE,98,4,0,0.0
21,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,half,NONE,98,4,0,0.0
22,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,half,NONE,98,3,0,0.0
23,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,half,NONE,98,3,0,0.0
24,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,half,NONE,98,2,0,0.0
25,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B-Instruct-AWQ,half,NONE,98,2,0,0.0
26,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,full,NONE,98,0,0,0.0
27,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,full,NONE,98,0,0,0.0
28,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,full,NONE,98,1,0,0.0
29,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,full,NONE,98,1,0,0.0
30,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,full,NONE,98,4,0,0.0
31,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,full,NONE,98,4,0,0.0
32,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,full,NONE,98,3,0,0.0
33,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,full,NONE,98,3,0,0.0
34,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,full,NONE,98,2,0,0.0
35,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,full,NONE,98,2,0,0.0
36,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,eight_bit,NONE,98,0,0,0.0
37,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,eight_bit,NONE,98,0,0,0.0
38,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,eight_bit,NONE,98,1,0,0.0
39,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,eight_bit,NONE,98,1,0,0.0
40,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,eight_bit,NONE,98,4,0,0.0
41,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,eight_bit,NONE,98,4,0,0.0
42,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,eight_bit,NONE,98,3,0,0.0
43,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,eight_bit,NONE,98,3,0,0.0
44,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,eight_bit,NONE,98,2,0,0.0
45,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,eight_bit,NONE,98,2,0,0.0
46,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,half,NONE,98,0,0,0.0
47,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,half,NONE,98,0,0,0.0
48,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,half,NONE,98,1,0,0.0
49,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,half,NONE,98,1,0,0.0
50,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,half,NONE,98,4,0,0.0
51,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,half,NONE,98,4,0,0.0
52,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,half,NONE,98,3,0,0.0
53,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,half,NONE,98,3,0,0.0
54,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,half,NONE,98,2,0,0.0
55,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,half,NONE,98,2,0,0.0
56,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,four_bit,NONE,98,0,0,0.0
57,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,four_bit,NONE,98,0,0,0.0
58,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,four_bit,NONE,98,1,0,0.0
59,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,four_bit,NONE,98,1,0,0.0
60,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,four_bit,NONE,98,4,0,0.0
61,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,four_bit,NONE,98,4,0,0.0
62,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,four_bit,NONE,98,3,0,0.0
63,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,four_bit,NONE,98,3,0,0.0
64,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,four_bit,NONE,98,2,0,0.0
65,ewok-physical-dynamics,Qwen__Qwen2.5-7B-Instruct,four_bit,NONE,98,2,0,0.0
66,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B,full,NONE,98,0,0,0.0
67,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B,full,NONE,98,0,0,0.0
68,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B,full,NONE,98,1,0,0.0
69,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B,full,NONE,98,1,0,0.0
70,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B,full,NONE,98,4,0,0.0
71,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B,full,NONE,98,4,0,0.0
72,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B,full,NONE,98,3,0,0.0
73,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B,full,NONE,98,3,0,0.0
74,ewok-physical-dynamics,Qwen__Qwen2.5-1.5B,full,NONE,98,2,0,0.0
